filename,accuracy
10L_90NL_1_1,64.0083
10L_90NL_1_2,59.4674
10L_90NL_1_3,58.8958
10L_90NL_1_4,62.1166
10L_90NL_2_1,51.6483
10L_90NL_2_2,52.7502
10L_90NL_2_3,50.3994
10L_90NL_2_4,45.4614
10L_90NL_3_1,41.2902
10L_90NL_3_2,51.3705
10L_90NL_3_3,51.9697
10L_90NL_3_4,47.9408
50L_50NL_1_1,40.8838
50L_50NL_1_2,37.1671
50L_50NL_1_3,42.8604
50L_50NL_1_4,84.7406
50L_50NL_2_1,58.3747
50L_50NL_2_2,54.6809
50L_50NL_2_4,85.062
50L_50NL_3_1,49.3503
50L_50NL_3_2,41.3545
50L_50NL_3_3,71.6667
50L_50NL_3_4,79.472
90L_10NL_1_2,75.1102
90L_10NL_1_3,78.214
90L_10NL_1_4,81.1662
90L_10NL_2_1,83.5698
90L_10NL_2_2,84.534
90L_10NL_2_3,84.3067
90L_10NL_2_4,81.4784
90L_10NL_3_1,78.5124
90L_10NL_3_2,82.1143
90L_10NL_3_3,79.0129
90L_10NL_3_4,80.9068
