filename,l_acc,nl_acc
10L_90NL_1_1,22.01,60.12
10L_90NL_1_2,18.29,59.86
10L_90NL_1_3,28.51,58.71
10L_90NL_1_4,37.23,57.07
10L_90NL_2_1,39.76,60.61
10L_90NL_2_3,51.15,68.3
10L_90NL_2_4,51.13,58.96
10L_90NL_3_1,19.07,64.98
10L_90NL_3_2,11.39,62.77
10L_90NL_3_3,22.75,67.86
10L_90NL_3_4,26.1,65.17
50L_50NL_1_1,74.46,59.42
50L_50NL_1_2,67.2,50.15
50L_50NL_2_3,89.75,41.28
50L_50NL_2_4,86.26,40.11
50L_50NL_3_2,80.99,59.13
50L_50NL_3_3,74.96,65.43
50L_50NL_3_4,84.68,63.45
90L_10NL_1_1,83.78,7.53
90L_10NL_1_2,84.97,24.24
90L_10NL_1_3,88.26,23.38
90L_10NL_1_4,82.51,27.68
90L_10NL_2_1,84.16,12.45
90L_10NL_2_2,80.82,4.42
90L_10NL_2_3,86.56,12.12
90L_10NL_2_4,80.86,8.03
90L_10NL_3_1,86.17,15.87
90L_10NL_3_2,88.74,4.68
90L_10NL_3_3,76.56,11.92
90L_10NL_3_4,88.37,15.32
