filename,accuracy
10L_90NL_1_1,55.9435
10L_90NL_1_2,55.2227
10L_90NL_1_3,53.8567
10L_90NL_1_4,52.3278
10L_90NL_2_1,58.377
10L_90NL_2_2,62.8673
10L_90NL_2_3,66.4784
10L_90NL_2_4,58.1175
10L_90NL_3_1,60.0964
10L_90NL_3_2,57.3163
10L_90NL_3_3,62.9454
10L_90NL_3_4,60.8861
50L_50NL_1_1,66.5243
50L_50NL_1_2,58.5675
50L_50NL_1_3,73.6731
50L_50NL_1_4,74.2837
50L_50NL_2_1,66.5473
50L_50NL_2_2,68.7351
50L_50NL_2_3,65.4132
50L_50NL_2_4,63.1612
50L_50NL_3_1,66.8825
50L_50NL_3_2,70.0551
50L_50NL_3_3,69.5156
50L_50NL_3_4,74.0634
90L_10NL_1_1,75.6726
90L_10NL_1_2,78.4206
90L_10NL_1_3,81.343
90L_10NL_1_4,76.6965
90L_10NL_2_1,76.2603
90L_10NL_2_2,72.5413
90L_10NL_2_3,78.4298
90L_10NL_2_4,73.0464
90L_10NL_3_1,76.9261
90L_10NL_3_2,78.7718
90L_10NL_3_3,68.9555
90L_10NL_3_4,79.7635
