filename,accuracy
10L_90NL_1_1,70.7415
10L_90NL_1_2,69.8033
10L_90NL_1_3,56.0744
10L_90NL_1_4,70.0138
10L_90NL_2_1,71.832
10L_90NL_2_2,70.7989
10L_90NL_2_3.nll_4.1521.acc_7.148.dist_7.457.epoch_103,70.3007
10L_90NL_2_4,64.1552
10L_90NL_3_1.nll_0.7169.acc_82.7807.dist_0.2444.epoch_103,74.4904
10L_90NL_3_2.nll_4.2900.acc_8.0214.dist_7.774.epoch_103,73.455
10L_90NL_3_3,74.3251
10L_90NL_3_4,78.8361
50L_50NL_1_1,81.9215
50L_50NL_1_2,76.9376
50L_50NL_1_3,80.854
50L_50NL_1_4.nll_0.8055.acc_67.9323.dist_0.6258.epoch_104,78.7213
50L_50NL_2_1.nll_0.7882.acc_71.5508.dist_0.4289.epoch_104,78.7741
50L_50NL_2_2.nll_2.6787.acc_35.0446.dist_4.4986.epoch_104,71.9238
50L_50NL_2_3.nll_2.6916.acc_39.7683.dist_4.3319.epoch_104,75.893
50L_50NL_2_4.nll_0.7700.acc_73.6898.dist_0.4139.epoch_104,78.5147
50L_50NL_3_1.nll_0.8041.acc_69.6613.dist_0.5551.epoch_104,77.7525
50L_50NL_3_2.nll_2.7102.acc_43.0303.dist_4.2531.epoch_104,81.4394
50L_50NL_3_3.nll_2.6875.acc_42.5847.dist_4.2367.epoch_104,81.1134
50L_50NL_3_4,77.741
90L_10NL_1_1,86.8343
90L_10NL_1_2,0.8264
90L_10NL_1_3,85.1791
90L_10NL_1_4,81.0101
90L_10NL_2_1.nll_0.7776.acc_82.5712.dist_0.3293.epoch_103,81.9628
90L_10NL_2_2.nll_1.1110.acc_77.0615.dist_0.948.epoch_103,83.5629
90L_10NL_2_3.nll_1.1404.acc_70.9642.dist_1.1038.epoch_103,77.2406
90L_10NL_2_4.nll_0.7911.acc_80.6795.dist_0.4253.epoch_103,81.8365
90L_10NL_3_1.nll_0.7293.acc_89.287.dist_0.2023.epoch_104,83.2828
90L_10NL_3_2.nll_1.1882.acc_85.1159.dist_0.761.epoch_104,81.747
90L_10NL_3_3.nll_1.2020.acc_87.0053.dist_0.7636.epoch_104,84.247
90L_10NL_3_4.nll_0.8006.acc_84.7594.dist_0.2955.epoch_104,78.8017
