filename,l_acc,nl_acc
10L_90NL_1_1,38.9,61.77
10L_90NL_1_2,49.24,67.62
10L_90NL_1_3,47.25,65.71
10L_90NL_1_4,39.0,64.16
10L_90NL_2_1,64.07,67.63
10L_90NL_2_2,45.02,65.27
10L_90NL_2_3,44.22,61.67
10L_90NL_2_4,60.5,61.28
10L_90NL_3_1,59.52,70.22
10L_90NL_3_2,50.8,64.86
10L_90NL_3_3,59.11,67.75
10L_90NL_3_4,58.53,64.58
50L_50NL_1_1,95.42,67.13
50L_50NL_1_2,84.42,54.74
50L_50NL_1_3,84.97,60.83
50L_50NL_1_4,82.48,59.02
50L_50NL_2_1,90.96,50.02
50L_50NL_2_2,79.98,51.25
50L_50NL_2_3,91.44,41.22
50L_50NL_2_4,88.06,50.41
50L_50NL_3_1,79.61,60.29
50L_50NL_3_2,81.72,54.1
50L_50NL_3_3,84.48,62.94
50L_50NL_3_4,82.94,59.67
90L_10NL_1_2,89.83,31.13
90L_10NL_1_3,85.3,28.46
90L_10NL_2_1,85.01,18.79
90L_10NL_2_2,88.64,14.68
90L_10NL_2_3,85.02,27.92
90L_10NL_2_4,86.45,17.75
90L_10NL_3_1,78.78,14.53
90L_10NL_3_2,88.04,10.75
90L_10NL_3_3,89.66,14.94
90L_10NL_3_4,89.65,10.55
