filename,accuracy
10L_90NL_1_1.nll_1.0697.acc_31.8538.dist_1.5162.epoch_103,57.9431
10L_90NL_1_2.nll_4.2359.acc_5.7932.dist_7.4581.epoch_103,65.2686
10L_90NL_1_3.nll_4.2364.acc_5.8111.dist_7.4713.epoch_103,63.393
10L_90NL_1_4.nll_0.9111.acc_49.7861.dist_0.8663.epoch_103,60.4775
10L_90NL_2_1.nll_0.8354.acc_69.0018.dist_0.5337.epoch_103,67.2498
10L_90NL_2_2.nll_4.2765.acc_4.6168.dist_7.5768.epoch_103,63.0372
10L_90NL_2_3.nll_4.3101.acc_5.9002.dist_7.534.epoch_103,59.4858
10L_90NL_2_4.nll_0.8304.acc_64.8128.dist_0.5971.epoch_103,61.1938
10L_90NL_3_1.nll_0.7181.acc_84.795.dist_0.29.epoch_103,67.2544
10L_90NL_3_2.nll_4.2337.acc_8.1996.dist_7.7144.epoch_103,63.09
10L_90NL_3_3.nll_4.2570.acc_8.5918.dist_7.6943.epoch_103,66.6827
10L_90NL_3_4.nll_0.7669.acc_72.9947.dist_0.4702.epoch_103,63.5629
50L_50NL_1_1.nll_0.9043.acc_61.4082.dist_0.7403.epoch_104,80.5257
50L_50NL_1_2.nll_2.7247.acc_35.9893.dist_4.3627.epoch_104,69.4995
50L_50NL_1_3.nll_2.6711.acc_40.6061.dist_4.333.epoch_104,71.8779
50L_50NL_1_4.nll_0.9082.acc_54.0463.dist_0.8742.epoch_104,70.4729
50L_50NL_2_1.nll_0.8754.acc_62.0499.dist_0.7032.epoch_104,69.4376
50L_50NL_2_2.nll_2.7711.acc_33.5294.dist_4.5125.epoch_104,64.2815
50L_50NL_2_3.nll_2.7640.acc_32.852.dist_4.556.epoch_104,64.9311
50L_50NL_2_4.nll_0.8403.acc_63.779.dist_0.5884.epoch_104,68.9853
50L_50NL_3_1.nll_0.8617.acc_60.8556.dist_0.6775.epoch_104,69.3388
50L_50NL_3_2.nll_2.7672.acc_40.4635.dist_4.2611.epoch_104,67.4587
50L_50NL_3_3.nll_2.7385.acc_42.656.dist_4.3301.epoch_104,73.028
50L_50NL_3_4.nll_0.8662.acc_62.1034.dist_0.6203.epoch_104,70.73
90L_10NL_1_2.nll_1.2444.acc_75.4189.dist_1.0752.epoch_104,83.5147
90L_10NL_1_3.nll_1.2611.acc_75.4011.dist_1.0859.epoch_104,79.0588
90L_10NL_2_1.nll_0.8015.acc_85.6198.dist_0.4637.epoch_103,77.9408
90L_10NL_2_2.nll_1.0759.acc_85.7668.dist_0.8312.epoch_103,80.3972
90L_10NL_2_3.nll_1.1228.acc_70.3581.dist_1.1495.epoch_103,78.2828
90L_10NL_2_4.nll_0.8374.acc_74.472.dist_0.6911.epoch_103,78.1543
90L_10NL_3_1.nll_0.7803.acc_79.2157.dist_0.5078.epoch_104,70.124
90L_10NL_3_2.nll_1.2217.acc_82.6381.dist_0.8515.epoch_104,77.7342
90L_10NL_3_3.nll_1.1997.acc_86.5062.dist_0.7633.epoch_104,80.7484
90L_10NL_3_4.nll_0.7758.acc_82.3173.dist_0.3184.epoch_104,79.2309
