filename,accuracy
10L_90NL_1_1,66.2
10L_90NL_1_2,51.24
10L_90NL_1_3,53.59
10L_90NL_1_4,80.6
10L_90NL_2_1,68.38
10L_90NL_2_2,44.65
10L_90NL_2_3,49.12
10L_90NL_2_4,71.08
10L_90NL_3_1,66.54
10L_90NL_3_2,50.0
10L_90NL_3_3,44.04
10L_90NL_3_4,64.34
50L_50NL_1_1,76.8
50L_50NL_1_2,44.54
50L_50NL_1_3,41.62
50L_50NL_1_4,81.96
50L_50NL_2_1,80.09
50L_50NL_2_2,44.97
50L_50NL_2_3,45.84
50L_50NL_2_4,72.25
50L_50NL_3_1,74.5
50L_50NL_3_2,73.59
50L_50NL_3_3,45.19
50L_50NL_3_4,83.64
90L_10NL_1_1,80.92
90L_10NL_1_2,79.25
90L_10NL_1_3,84.65
90L_10NL_1_4,81.97
90L_10NL_2_1,83.58
90L_10NL_2_2,85.13
90L_10NL_2_3,84.64
90L_10NL_2_4,82.33
90L_10NL_3_1,73.76
90L_10NL_3_2,79.04
90L_10NL_3_3,80.41
90L_10NL_3_4,84.27
