lemma,correct,total,accuracy
e s k a ɾ n e s ˈe ɾ,635,660,96.21
e n f l a k e s ˈe ɾ,633,660,95.91
e n b i l e s ˈe ɾ,608,660,92.12
ɾ e k o n d u s ˈi ɾ,603,660,91.36
a m a n e s ˈe ɾ,593,660,89.85
d e s p a ɾ e s ˈe ɾ,592,660,89.7
f e n e s ˈe ɾ,568,660,86.06
k o d i ɾ i ç ˈi ɾ,567,660,85.91
p ɾ e s u p o n ˈe ɾ,564,660,85.45
f a b o ɾ e s ˈe ɾ,558,660,84.55
e n t e ɾ n e s ˈe ɾ,550,660,83.33
u n s ˈi ɾ,544,660,82.42
p a d e s ˈe ɾ,537,660,81.36
ɾ e s u ɾ ç ˈi ɾ,527,660,79.85
e n s o m b ɾ e s ˈe ɾ,521,660,78.94
s u ɾ s ˈi ɾ,519,660,78.64
k a ɾ e s ˈe ɾ,511,660,77.42
ɾ e l u s ˈi ɾ,494,660,74.85
e k s t ɾ a ˈe ɾ,417,660,63.18
d e t ɾ a ˈe ɾ,416,660,63.03
k o n d e s ˈi ɾ,391,660,59.24
f ɾ a n ç ˈi ɾ,391,660,59.24
f u n ç ˈi ɾ,384,660,58.18
a t ɾ a ˈe ɾ,379,660,57.42
e s p a ɾ s ˈi ɾ,369,660,55.91
ɾ e d e s ˈi ɾ,358,660,54.24
k o l e ç ˈi ɾ,337,660,51.06
d e s a s ˈe ɾ,288,660,43.64
e x e ɾ s ˈe ɾ,270,660,40.91
o b t e n ˈe ɾ,77,660,11.67
e k i b a l ˈe ɾ,35,660,5.3
k o n t ɾ a a s ˈe ɾ,0,660,0.0
p e ɾ m a n e s ˈe ɾ,0,660,0.0
