model,condition,run,lemma,correct,total,accuracy
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,331,660,50.15
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,318,660,48.18
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,320,660,48.48
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,362,660,54.85
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,301,660,45.61
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,347,660,52.58
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,253,660,38.33
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,308,660,46.67
10L_90NL_1_1,10L_90NL,1,k o n o s ˈe ɾ,256,660,38.79
10L_90NL_1_2,10L_90NL,1,k o n o s ˈe ɾ,178,660,26.97
10L_90NL_1_3,10L_90NL,1,k o n o s ˈe ɾ,198,660,30.0
10L_90NL_1_4,10L_90NL,1,k o n o s ˈe ɾ,158,660,23.94
10L_90NL_1_1,10L_90NL,1,m e ɾ e s ˈe ɾ,160,660,24.24
10L_90NL_1_2,10L_90NL,1,m e ɾ e s ˈe ɾ,206,660,31.21
10L_90NL_1_3,10L_90NL,1,m e ɾ e s ˈe ɾ,165,660,25.0
10L_90NL_1_4,10L_90NL,1,m e ɾ e s ˈe ɾ,63,660,9.55
10L_90NL_1_1,10L_90NL,1,m u l ç ˈe ɾ,58,660,8.79
10L_90NL_1_2,10L_90NL,1,m u l ç ˈe ɾ,98,660,14.85
10L_90NL_1_3,10L_90NL,1,m u l ç ˈe ɾ,123,660,18.64
10L_90NL_1_4,10L_90NL,1,m u l ç ˈe ɾ,224,660,33.94
10L_90NL_1_1,10L_90NL,1,o b t e n ˈe ɾ,0,660,0.0
10L_90NL_1_2,10L_90NL,1,o b t e n ˈe ɾ,9,660,1.36
10L_90NL_1_3,10L_90NL,1,o b t e n ˈe ɾ,0,660,0.0
10L_90NL_1_4,10L_90NL,1,o b t e n ˈe ɾ,273,660,41.36
10L_90NL_1_1,10L_90NL,1,s u p e ɾ b e n ˈi ɾ,283,660,42.88
10L_90NL_1_2,10L_90NL,1,s u p e ɾ b e n ˈi ɾ,280,660,42.42
10L_90NL_1_3,10L_90NL,1,s u p e ɾ b e n ˈi ɾ,253,660,38.33
10L_90NL_1_4,10L_90NL,1,s u p e ɾ b e n ˈi ɾ,307,660,46.52
10L_90NL_2_1,10L_90NL,2,b e n d e s ˈi ɾ,140,660,21.21
10L_90NL_2_2,10L_90NL,2,b e n d e s ˈi ɾ,158,660,23.94
10L_90NL_2_3,10L_90NL,2,b e n d e s ˈi ɾ,152,660,23.03
10L_90NL_2_4,10L_90NL,2,b e n d e s ˈi ɾ,152,660,23.03
10L_90NL_2_1,10L_90NL,2,d e b e n ˈi ɾ,285,660,43.18
10L_90NL_2_2,10L_90NL,2,d e b e n ˈi ɾ,317,660,48.03
10L_90NL_2_3,10L_90NL,2,d e b e n ˈi ɾ,318,660,48.18
10L_90NL_2_4,10L_90NL,2,d e b e n ˈi ɾ,289,660,43.79
10L_90NL_2_1,10L_90NL,2,e m u n ç ˈe ɾ,326,660,49.39
10L_90NL_2_2,10L_90NL,2,e m u n ç ˈe ɾ,381,660,57.73
10L_90NL_2_3,10L_90NL,2,e m u n ç ˈe ɾ,376,660,56.97
10L_90NL_2_4,10L_90NL,2,e m u n ç ˈe ɾ,328,660,49.7
10L_90NL_2_1,10L_90NL,2,e n k a n e s ˈe ɾ,276,660,41.82
10L_90NL_2_2,10L_90NL,2,e n k a n e s ˈe ɾ,330,660,50.0
10L_90NL_2_3,10L_90NL,2,e n k a n e s ˈe ɾ,357,660,54.09
10L_90NL_2_4,10L_90NL,2,e n k a n e s ˈe ɾ,303,660,45.91
10L_90NL_2_1,10L_90NL,2,e n s o ɾ d e s ˈe ɾ,363,660,55.0
10L_90NL_2_2,10L_90NL,2,e n s o ɾ d e s ˈe ɾ,328,660,49.7
10L_90NL_2_3,10L_90NL,2,e n s o ɾ d e s ˈe ɾ,339,660,51.36
10L_90NL_2_4,10L_90NL,2,e n s o ɾ d e s ˈe ɾ,352,660,53.33
10L_90NL_2_1,10L_90NL,2,k o n b e n s ˈe ɾ,580,660,87.88
10L_90NL_2_2,10L_90NL,2,k o n b e n s ˈe ɾ,306,660,46.36
10L_90NL_2_3,10L_90NL,2,k o n b e n s ˈe ɾ,403,660,61.06
10L_90NL_2_4,10L_90NL,2,k o n b e n s ˈe ɾ,239,660,36.21
10L_90NL_2_1,10L_90NL,2,o f ɾ e s ˈe ɾ,262,660,39.7
10L_90NL_2_2,10L_90NL,2,o f ɾ e s ˈe ɾ,335,660,50.76
10L_90NL_2_3,10L_90NL,2,o f ɾ e s ˈe ɾ,292,660,44.24
10L_90NL_2_4,10L_90NL,2,o f ɾ e s ˈe ɾ,217,660,32.88
10L_90NL_3_1,10L_90NL,3,a n t e d e s ˈi ɾ,128,660,19.39
10L_90NL_3_2,10L_90NL,3,a n t e d e s ˈi ɾ,163,660,24.7
10L_90NL_3_3,10L_90NL,3,a n t e d e s ˈi ɾ,202,660,30.61
10L_90NL_3_4,10L_90NL,3,a n t e d e s ˈi ɾ,189,660,28.64
10L_90NL_3_1,10L_90NL,3,e n a l t e s ˈe ɾ,261,660,39.55
10L_90NL_3_2,10L_90NL,3,e n a l t e s ˈe ɾ,341,660,51.67
10L_90NL_3_3,10L_90NL,3,e n a l t e s ˈe ɾ,336,660,50.91
