lemma,correct,total,accuracy,overall_accuracy
e n l u s ˈi ɾ,5280,5280,100.0,100.0
e n k o ç ˈe ɾ,1980,1980,100.0,100.0
e n ɡ ɾ a n d e s ˈe ɾ,1980,1980,100.0,100.0
ɾ e k o ç ˈe ɾ,2640,2640,100.0,100.0
ɾ e k ɾ u d e s ˈe ɾ,2640,2640,100.0,100.0
ɾ e b e ɾ d e s ˈe ɾ,1980,1980,100.0,100.0
o p o n ˈe ɾ,4620,4620,100.0,100.0
e n l o k e s ˈe ɾ,2640,2640,100.0,100.0
e n k a ʃ e s ˈe ɾ,4620,4620,100.0,100.0
f o ɾ t a l e s ˈe ɾ,1980,1980,100.0,100.0
ɾ e p o n ˈe ɾ,2640,2640,100.0,100.0
e n b a n e s ˈe ɾ,2640,2640,100.0,100.0
e n a ɾ d e s ˈe ɾ,4620,4620,100.0,100.0
e m u l ç ˈe ɾ,1980,1980,100.0,100.0
e m e ɾ ç ˈe ɾ,2640,2640,100.0,100.0
e d u s ˈi ɾ,2640,2640,100.0,100.0
p ɾ o p o n ˈe ɾ,2640,2640,100.0,100.0
i n b e n ˈi ɾ,1980,1980,100.0,100.0
d e s l u s ˈi ɾ,2640,2640,100.0,100.0
k o n d u s ˈi ɾ,1980,1980,100.0,100.0
ɾ e f u l ç ˈi ɾ,2640,2640,100.0,100.0
p u n ç ˈi ɾ,2640,2640,100.0,100.0
k o ç ˈe ɾ,2640,2640,100.0,100.0
k o n t ɾ a ˈe ɾ,1980,1980,100.0,100.0
p ɾ e b e n ˈi ɾ,2640,2640,100.0,100.0
p ɾ e d e s ˈi ɾ,2640,2640,100.0,100.0
k o n b e ɾ ç ˈi ɾ,1815,1815,100.0,100.0
i n d i s p o n ˈe ɾ,1980,1980,100.0,100.0
k o n b e ɾ ç ˈe ɾ,165,165,100.0,100.0
k o m p o n ˈe ɾ,2640,2640,100.0,100.0
ɾ e k o m p o n ˈe ɾ,2640,2640,100.0,100.0
p ɾ o b e n ˈi ɾ,2640,2640,100.0,100.0
i n t e ɾ b e n ˈi ɾ,2640,2640,100.0,100.0
i n d u s ˈi ɾ,2640,2640,100.0,100.0
d i ɾ i ç ˈi ɾ,2640,2640,100.0,100.0
o s k u ɾ e s ˈe ɾ,1980,1980,100.0,100.0
a t e n ˈe ɾ,2640,2640,100.0,100.0
a d o l e s ˈe ɾ,1980,1980,100.0,100.0
ɾ e t ɾ a d u s ˈi ɾ,1980,1980,100.0,100.0
ɾ e t e n ˈe ɾ,5279,5280,99.98125,99.98
a p o n ˈe ɾ,2639,2640,99.9625,99.96
e n f u ɾ e s ˈe ɾ,2639,2640,99.9625,99.96
d i b e ɾ ç ˈi ɾ,1979,1980,99.95,99.95
a k o n t e s ˈe ɾ,1978,1980,99.89999999999999,99.9
e m p o b ɾ e s ˈe ɾ,2637,2640,99.8875,99.89
ɾ e d i ɾ i ç ˈi ɾ,2636,2640,99.8475,99.85
