lemma,correct,total,accuracy
ɾ e a p a ɾ e s ˈe ɾ,660,660,100.0
e m b e ʃ e s ˈe ɾ,660,660,100.0
d e s k o m p o n ˈe ɾ,660,660,100.0
e n o ɾ ɡ u ʃ e s ˈe ɾ,660,660,100.0
b a l b u s ˈi ɾ,660,660,100.0
e n k a ɾ e s ˈe ɾ,660,660,100.0
e n b e x e s ˈe ɾ,660,660,100.0
f u l ç ˈi ɾ,660,660,100.0
k o m p a ɾ e s ˈe ɾ,660,660,100.0
a s t ɾ i n ç ˈi ɾ,660,660,100.0
ɾ e t o ɾ s ˈe ɾ,660,660,100.0
k a ˈe ɾ,660,660,100.0
a n t e d e s ˈi ɾ,660,660,100.0
p ɾ o d u s ˈi ɾ,660,660,100.0
ɾ e b l a n d e s ˈe ɾ,660,660,100.0
p ɾ e b a l e s ˈe ɾ,660,660,100.0
d e p o n ˈe ɾ,660,660,100.0
t ɾ a ˈe ɾ,660,660,100.0
e n t e ɾ n e s ˈe ɾ,660,660,100.0
e n ɾ o x e s ˈe ɾ,660,660,100.0
k o n t ɾ a a s ˈe ɾ,660,660,100.0
a b o r e s ˈe ɾ,660,660,100.0
e k i b a l ˈe ɾ,660,660,100.0
ɾ e b e n ˈi ɾ,659,660,99.85
a p a ɾ e s ˈe ɾ,651,660,98.64
a n o ʧ e s ˈe ɾ,646,660,97.88
d i s t ɾ a ˈe ɾ,640,660,96.97
f ɾ a n ç ˈi ɾ,632,660,95.76
d e s a s ˈe ɾ,260,660,39.39
e s t a b l e s ˈe ɾ,162,660,24.55
e n f l a k e s ˈe ɾ,0,660,0.0
e n m o e s ˈe ɾ,0,660,0.0
e m p o d ɾ e s ˈe ɾ,0,660,0.0
