model,condition,run,lemma,correct,total,accuracy
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,659,660,99.85
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,660,660,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,356,660,53.94
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,599,660,90.76
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,660,660,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,660,660,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,323,660,48.94
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,304,660,46.06
10L_90NL_1_1,10L_90NL,1,k o n o s ˈe ɾ,270,660,40.91
10L_90NL_1_2,10L_90NL,1,k o n o s ˈe ɾ,283,660,42.88
10L_90NL_1_3,10L_90NL,1,k o n o s ˈe ɾ,306,660,46.36
10L_90NL_1_4,10L_90NL,1,k o n o s ˈe ɾ,362,660,54.85
10L_90NL_1_1,10L_90NL,1,m e ɾ e s ˈe ɾ,348,660,52.73
10L_90NL_1_2,10L_90NL,1,m e ɾ e s ˈe ɾ,518,660,78.48
10L_90NL_1_3,10L_90NL,1,m e ɾ e s ˈe ɾ,182,660,27.58
10L_90NL_1_4,10L_90NL,1,m e ɾ e s ˈe ɾ,296,660,44.85
10L_90NL_1_1,10L_90NL,1,m u l ç ˈe ɾ,5,660,0.76
10L_90NL_1_2,10L_90NL,1,m u l ç ˈe ɾ,398,660,60.3
10L_90NL_1_3,10L_90NL,1,m u l ç ˈe ɾ,14,660,2.12
10L_90NL_1_4,10L_90NL,1,m u l ç ˈe ɾ,535,660,81.06
10L_90NL_1_1,10L_90NL,1,o b t e n ˈe ɾ,466,660,70.61
10L_90NL_1_2,10L_90NL,1,o b t e n ˈe ɾ,648,660,98.18
10L_90NL_1_3,10L_90NL,1,o b t e n ˈe ɾ,294,660,44.55
