lemma,correct,total,accuracy,overall_accuracy
ɾ e a p a ɾ e s ˈe ɾ,5280,5280,100.0,100.0
ɾ e t e n ˈe ɾ,5280,5280,100.0,100.0
f u l ç ˈi ɾ,2640,2640,100.0,100.0
f e n e s ˈe ɾ,2640,2640,100.0,100.0
d e p o n ˈe ɾ,2640,2640,100.0,100.0
f a b o ɾ e s ˈe ɾ,2640,2640,100.0,100.0
ɾ e k ɾ u d e s ˈe ɾ,2640,2640,100.0,100.0
ɾ e t o ɾ s ˈe ɾ,2640,2640,100.0,100.0
e n ɾ o x e s ˈe ɾ,2640,2640,100.0,100.0
e n n e ɡ ɾ e s ˈe ɾ,2640,2640,100.0,100.0
ɾ e p o n ˈe ɾ,2640,2640,100.0,100.0
i n d u s ˈi ɾ,2640,2640,100.0,100.0
d e s k o s ˈe ɾ,1100,1100,100.0,100.0
e n l u s ˈi ɾ,5280,5280,100.0,100.0
e n f u ɾ e s ˈe ɾ,2640,2640,100.0,100.0
e n b a n e s ˈe ɾ,2640,2640,100.0,100.0
ɾ e s u ɾ ç ˈi ɾ,2640,2640,100.0,100.0
e m e ɾ ç ˈe ɾ,2640,2640,100.0,100.0
d e ɾ e l i n k ˈi ɾ,2640,2640,100.0,100.0
e m b e ʃ e s ˈe ɾ,5280,5280,100.0,100.0
f u n ç ˈi ɾ,7920,7920,100.0,100.0
a b o r e s ˈe ɾ,5280,5280,100.0,100.0
d i ɾ i ç ˈi ɾ,2640,2640,100.0,100.0
p u n ç ˈi ɾ,2640,2640,100.0,100.0
t ɾ a s p o n ˈe ɾ,5280,5280,100.0,100.0
ɾ e b l a n d e s ˈe ɾ,2640,2640,100.0,100.0
a d o ɾ m e s ˈe ɾ,2640,2640,100.0,100.0
p ɾ o p o n ˈe ɾ,2640,2640,100.0,100.0
p ɾ o d u s ˈi ɾ,2640,2640,100.0,100.0
p ɾ e s u p o n ˈe ɾ,2640,2640,100.0,100.0
p ɾ e b e n ˈi ɾ,2640,2640,100.0,100.0
p ɾ e b a l e s ˈe ɾ,2640,2640,100.0,100.0
ɾ e d i ɾ i ç ˈi ɾ,2640,2640,100.0,100.0
k o ç ˈe ɾ,2640,2640,100.0,100.0
k o n t e n ˈe ɾ,2640,2640,100.0,100.0
ɾ e k o m p o n ˈe ɾ,2640,2640,100.0,100.0
k o n f l i ç ˈi ɾ,2640,2640,100.0,100.0
ɾ e k o n d u s ˈi ɾ,2640,2640,100.0,100.0
k o m p o n ˈe ɾ,2640,2640,100.0,100.0
k o m p a ɾ e s ˈe ɾ,2640,2640,100.0,100.0
a t e n ˈe ɾ,2640,2640,100.0,100.0
e d u s ˈi ɾ,2640,2640,100.0,100.0
