model,condition,run,lemma,correct,total,accuracy
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,638,660,96.67
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,660,660,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,660,660,100.0
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,652,660,98.79
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,351,660,53.18
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,516,660,78.18
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,660,660,100.0
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,357,660,54.09
10L_90NL_1_1,10L_90NL,1,k o n o s ˈe ɾ,215,660,32.58
10L_90NL_1_2,10L_90NL,1,k o n o s ˈe ɾ,241,660,36.52
10L_90NL_1_3,10L_90NL,1,k o n o s ˈe ɾ,256,660,38.79
10L_90NL_1_4,10L_90NL,1,k o n o s ˈe ɾ,257,660,38.94
10L_90NL_1_1,10L_90NL,1,m e ɾ e s ˈe ɾ,268,660,40.61
10L_90NL_1_2,10L_90NL,1,m e ɾ e s ˈe ɾ,285,660,43.18
10L_90NL_1_3,10L_90NL,1,m e ɾ e s ˈe ɾ,233,660,35.3
10L_90NL_1_4,10L_90NL,1,m e ɾ e s ˈe ɾ,266,660,40.3
10L_90NL_1_1,10L_90NL,1,m u l ç ˈe ɾ,253,660,38.33
10L_90NL_1_2,10L_90NL,1,m u l ç ˈe ɾ,559,660,84.7
10L_90NL_1_3,10L_90NL,1,m u l ç ˈe ɾ,382,660,57.88
10L_90NL_1_4,10L_90NL,1,m u l ç ˈe ɾ,215,660,32.58
10L_90NL_1_1,10L_90NL,1,o b t e n ˈe ɾ,462,660,70.0
10L_90NL_1_2,10L_90NL,1,o b t e n ˈe ɾ,456,660,69.09
10L_90NL_1_3,10L_90NL,1,o b t e n ˈe ɾ,495,660,75.0
10L_90NL_1_4,10L_90NL,1,o b t e n ˈe ɾ,443,660,67.12
10L_90NL_1_1,10L_90NL,1,s u p e ɾ b e n ˈi ɾ,413,660,62.58
10L_90NL_1_2,10L_90NL,1,s u p e ɾ b e n ˈi ɾ,392,660,59.39
10L_90NL_1_3,10L_90NL,1,s u p e ɾ b e n ˈi ɾ,303,660,45.91
10L_90NL_1_4,10L_90NL,1,s u p e ɾ b e n ˈi ɾ,411,660,62.27
10L_90NL_2_1,10L_90NL,2,b e n d e s ˈi ɾ,155,660,23.48
10L_90NL_2_2,10L_90NL,2,b e n d e s ˈi ɾ,155,660,23.48
