lemma,correct,total,accuracy,overall_accuracy
ɾ e b e n ˈi ɾ,3960,3960,100.0,100.0
ɾ e k o m p o n ˈe ɾ,2640,2640,100.0,100.0
e n f e b ɾ e s ˈe ɾ,1320,1320,100.0,100.0
ɾ e d i ɾ i ç ˈi ɾ,2640,2640,100.0,100.0
ɾ e e s t a b l e s ˈe ɾ,1320,1320,100.0,100.0
p ɾ o p o n ˈe ɾ,2640,2640,100.0,100.0
k o n b e ɾ ç ˈe ɾ,110,110,100.0,100.0
k o n b e ɾ ç ˈi ɾ,1210,1210,100.0,100.0
e m u l ç ˈe ɾ,1320,1320,100.0,100.0
k o n d e s ˈi ɾ,2640,2640,100.0,100.0
k o n d u s ˈi ɾ,1320,1320,100.0,100.0
k o n f l i ç ˈi ɾ,2640,2640,100.0,100.0
p ɾ o d u s ˈi ɾ,2640,2640,100.0,100.0
f u n ç ˈi ɾ,7920,7920,100.0,100.0
d i ɾ i ç ˈi ɾ,2640,2640,100.0,100.0
d i b e ɾ ç ˈi ɾ,1320,1320,100.0,100.0
d e ɾ e l i n k ˈi ɾ,2640,2640,100.0,100.0
k o m p o n ˈe ɾ,2640,2640,100.0,100.0
k o m p a ɾ e s ˈe ɾ,2640,2640,100.0,100.0
e n k a ʃ e s ˈe ɾ,3960,3960,100.0,100.0
e n ɡ ɾ a n d e s ˈe ɾ,1320,1320,100.0,100.0
f o ɾ t a l e s ˈe ɾ,1320,1320,100.0,100.0
f e n e s ˈe ɾ,2640,2640,100.0,100.0
f a ʃ e s ˈe ɾ,2640,2640,100.0,100.0
f a b o ɾ e s ˈe ɾ,2640,2640,100.0,100.0
e s p a ɾ s ˈi ɾ,2640,2640,100.0,100.0
i n t e ɾ b e n ˈi ɾ,2640,2640,100.0,100.0
e n t e ɾ n e s ˈe ɾ,6600,6600,100.0,100.0
e n k o ç ˈe ɾ,1320,1320,100.0,100.0
k a ɾ e s ˈe ɾ,3960,3960,100.0,100.0
t ɾ a s p o n ˈe ɾ,5280,5280,100.0,100.0
t ɾ a ˈe ɾ,5280,5280,100.0,100.0
ɾ e a p a ɾ e s ˈe ɾ,5280,5280,100.0,100.0
o s k u ɾ e s ˈe ɾ,1320,1320,100.0,100.0
ɾ e b e ɾ d e s ˈe ɾ,1320,1320,100.0,100.0
d e t ɾ a ˈe ɾ,3960,3960,100.0,100.0
k o n t e n ˈe ɾ,2640,2640,100.0,100.0
p u n ç ˈi ɾ,2640,2640,100.0,100.0
k o p ɾ o d u s ˈi ɾ,6600,6600,100.0,100.0
a d o l e s ˈe ɾ,1320,1320,100.0,100.0
ɾ o b u s t e s ˈe ɾ,2640,2640,100.0,100.0
a k o n t e s ˈe ɾ,1320,1320,100.0,100.0
a n o ʧ e s ˈe ɾ,2640,2640,100.0,100.0
ɾ e t ɾ a d u s ˈi ɾ,1320,1320,100.0,100.0
a p o n ˈe ɾ,2640,2640,100.0,100.0
ɾ e k o n d u s ˈi ɾ,2640,2640,100.0,100.0
p ɾ e b a l e s ˈe ɾ,2640,2640,100.0,100.0
a t e n ˈe ɾ,2640,2640,100.0,100.0
a t ɾ a ˈe ɾ,2640,2640,100.0,100.0
p ɾ e b e n ˈi ɾ,2640,2640,100.0,100.0
ɾ e s u ɾ ç ˈi ɾ,2640,2640,100.0,100.0
k o ç ˈe ɾ,2640,2640,100.0,100.0
f u l ç ˈi ɾ,2640,2640,100.0,100.0
d e p o n ˈe ɾ,2640,2640,100.0,100.0
p ɾ e s u p o n ˈe ɾ,2640,2640,100.0,100.0
d e s k o s ˈe ɾ,1100,1100,100.0,100.0
p ɾ o b e n ˈi ɾ,2640,2640,100.0,100.0
ɾ e p o n ˈe ɾ,2640,2640,100.0,100.0
e s k a ɾ n e s ˈe ɾ,2639,2640,99.9625,99.96
e n ɾ o x e s ˈe ɾ,2639,2640,99.9625,99.96
d i s t ɾ a ˈe ɾ,2639,2640,99.9625,99.96
d e s a p a ɾ e s ˈe ɾ,5277,5280,99.94375,99.94
i n d u s ˈi ɾ,2638,2640,99.925,99.92
p a d e s ˈe ɾ,5276,5280,99.92375,99.92
ɾ e t e n ˈe ɾ,5276,5280,99.92375,99.92
k a ˈe ɾ,2637,2640,99.8875,99.89
k o l e ç ˈi ɾ,5273,5280,99.8675,99.87
ɾ e j n t ɾ o d u s ˈi ɾ,1318,1320,99.85,99.85
i n t e ɾ p o n ˈe ɾ,2636,2640,99.8475,99.85
e d u s ˈi ɾ,2634,2640,99.77250000000001,99.77
e n l u s ˈi ɾ,5265,5280,99.71625,99.72
e n s o m b ɾ e s ˈe ɾ,6580,6600,99.697,99.7
d e s p a ɾ e s ˈe ɾ,9209,9240,99.66499999999999,99.66
k o m p u n ç ˈi ɾ,3945,3960,99.62,99.62
e n k a ɾ e s ˈe ɾ,5260,5280,99.62125,99.62
s i ɾ k u n b e n ˈi ɾ,3943,3960,99.57166666666667,99.57
a f l i ç ˈi ɾ,2628,2640,99.545,99.55
a d o ɾ m e s ˈe ɾ,2627,2640,99.5075,99.51
e s k l a ɾ e s ˈe ɾ,1313,1320,99.47,99.47
s o s t e n ˈe ɾ,2626,2640,99.47,99.47
o b s k u ɾ e s ˈe ɾ,2625,2640,99.4325,99.43
i n d i s p o n ˈe ɾ,1310,1320,99.24000000000001,99.24
ɾ e t o ɾ s ˈe ɾ,2620,2640,99.2425,99.24
ɾ e k a ˈe ɾ,1310,1320,99.24000000000001,99.24
s u p o n ˈe ɾ,1310,1320,99.24000000000001,99.24
d e s l u s ˈi ɾ,2620,2640,99.2425,99.24
ɾ e k o s ˈe ɾ,1309,1320,99.16499999999999,99.17
k o n t ɾ a ˈe ɾ,1309,1320,99.16499999999999,99.17
a s t ɾ i n ç ˈi ɾ,5235,5280,99.1475,99.15
a b s t ɾ a ˈe ɾ,3926,3960,99.14166666666667,99.14
a d u s ˈi ɾ,2617,2640,99.13,99.13
ɾ e k ɾ u d e s ˈe ɾ,2616,2640,99.09,99.09
p a l i d e s ˈe ɾ,6529,6600,98.925,98.92
i n f ɾ i n ç ˈi ɾ,2610,2640,98.86500000000001,98.86
a p a ɾ e s ˈe ɾ,5212,5280,98.7125,98.71
e n f u ɾ e s ˈe ɾ,2605,2640,98.675,98.67
ɾ e s t a b l e s ˈe ɾ,3905,3960,98.61166666666666,98.61
p e ɾ m a n e s ˈe ɾ,5206,5280,98.59875,98.6
e n m u d e s ˈe ɾ,2602,2640,98.56,98.56
e n b e x e s ˈe ɾ,5198,5280,98.44625,98.45
e n k a n e s ˈe ɾ,2598,2640,98.41,98.41
d e d u s ˈi ɾ,9080,9240,98.26857142857143,98.27
e n ɾ i k e s ˈe ɾ,5173,5280,97.97375,97.97
l u s ˈi ɾ,2576,2640,97.575,97.58
s u b ʃ a s ˈe ɾ,2574,2640,97.4975,97.5
ɾ e d e s ˈi ɾ,8993,9240,97.32642857142856,97.33
p ɾ e d e s ˈi ɾ,2564,2640,97.12,97.12
m u l s ˈe ɾ,5121,5280,96.99000000000001,96.99
e n a ɾ d e s ˈe ɾ,3839,3960,96.945,96.94
a m a n e s ˈe ɾ,10237,10560,96.94125,96.94
o p o n ˈe ɾ,3828,3960,96.66666666666667,96.67
s u ɾ s ˈi ɾ,5103,5280,96.64750000000001,96.65
