lemma,correct,total,accuracy
d e s b a n e s ˈe ɾ,660,660,100.0
d e s p a ɾ e s ˈe ɾ,660,660,100.0
e n b a n e s ˈe ɾ,660,660,100.0
p u n ç ˈi ɾ,660,660,100.0
d e d u s ˈi ɾ,660,660,100.0
k o ç ˈe ɾ,660,660,100.0
i n d u s ˈi ɾ,660,660,100.0
e n a ɾ d e s ˈe ɾ,660,660,100.0
k o m p o n ˈe ɾ,660,660,100.0
ɾ e k o m p o n ˈe ɾ,660,660,100.0
a f l i ç ˈi ɾ,660,660,100.0
p a l i d e s ˈe ɾ,660,660,100.0
e n f u ɾ e s ˈe ɾ,660,660,100.0
ɾ e t e n ˈe ɾ,660,660,100.0
b a l ˈe ɾ,660,660,100.0
ɾ e k ɾ u d e s ˈe ɾ,660,660,100.0
e n l u s ˈi ɾ,660,660,100.0
p a d e s ˈe ɾ,660,660,100.0
l u s ˈi ɾ,660,660,100.0
p ɾ o b e n ˈi ɾ,660,660,100.0
m u l ç ˈe ɾ,660,660,100.0
e n ɾ i k e s ˈe ɾ,660,660,100.0
a m a n e s ˈe ɾ,660,660,100.0
k o n t e n ˈe ɾ,660,660,100.0
p ɾ o p o n ˈe ɾ,660,660,100.0
f u n ç ˈi ɾ,660,660,100.0
d e s l u s ˈi ɾ,659,660,99.85
m u l s ˈe ɾ,659,660,99.85
s a l ˈi ɾ,659,660,99.85
ɾ e k o ç ˈe ɾ,659,660,99.85
s i ɾ k u n b e n ˈi ɾ,658,660,99.7
u n s ˈi ɾ,658,660,99.7
e m e ɾ ç ˈe ɾ,657,660,99.55
ɾ e s t ɾ i n ç ˈi ɾ,657,660,99.55
m a l d e s ˈi ɾ,655,660,99.24
e n s e ɡ e s ˈe ɾ,654,660,99.09
k o n o s ˈe ɾ,654,660,99.09
a b e n ˈi ɾ,646,660,97.88
d e b e n ˈi ɾ,645,660,97.73
e n n e ɡ ɾ e s ˈe ɾ,644,660,97.58
a s t ɾ i n ç ˈi ɾ,637,660,96.52
k o l e ç ˈi ɾ,626,660,94.85
a b s t ɾ a ˈe ɾ,602,660,91.21
e n m o e s ˈe ɾ,598,660,90.61
ɡ w a ɾ e s ˈe ɾ,587,660,88.94
ɾ e f u l ç ˈi ɾ,586,660,88.79
s o b ɾ e k o ç ˈe ɾ,566,660,85.76
x a k ˈi ɾ,551,660,83.48
e l i ç ˈi ɾ,550,660,83.33
k o n t ɾ a d e s ˈi ɾ,550,660,83.33
d e s a p a ɾ e s ˈe ɾ,486,660,73.64
d e s k o s ˈe ɾ,180,275,65.45
k o r e ç ˈi ɾ,385,660,58.33
d e s a ɡ ɾ a d e s ˈe ɾ,367,660,55.61
t ɾ a s p o n ˈe ɾ,337,660,51.06
a d ʃ a s ˈe ɾ,93,660,14.09
d e s f a b o ɾ e s ˈe ɾ,30,660,4.55
k o n b e n s ˈe ɾ,1,660,0.15
a t a ɾ d e s ˈe ɾ,0,660,0.0
