model,condition,run,lemma,correct,total,accuracy
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,653,660,98.94
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,366,660,55.45
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,344,660,52.12
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,660,660,100.0
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,527,660,79.85
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,185,660,28.03
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,170,660,25.76
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,660,660,100.0
10L_90NL_1_1,10L_90NL,1,k o n o s ˈe ɾ,555,660,84.09
10L_90NL_1_2,10L_90NL,1,k o n o s ˈe ɾ,305,660,46.21
10L_90NL_1_3,10L_90NL,1,k o n o s ˈe ɾ,285,660,43.18
10L_90NL_1_4,10L_90NL,1,k o n o s ˈe ɾ,499,660,75.61
10L_90NL_1_1,10L_90NL,1,m e ɾ e s ˈe ɾ,328,660,49.7
10L_90NL_1_2,10L_90NL,1,m e ɾ e s ˈe ɾ,271,660,41.06
10L_90NL_1_3,10L_90NL,1,m e ɾ e s ˈe ɾ,206,660,31.21
10L_90NL_1_4,10L_90NL,1,m e ɾ e s ˈe ɾ,559,660,84.7
10L_90NL_1_1,10L_90NL,1,m u l ç ˈe ɾ,504,660,76.36
10L_90NL_1_2,10L_90NL,1,m u l ç ˈe ɾ,225,660,34.09
10L_90NL_1_3,10L_90NL,1,m u l ç ˈe ɾ,109,660,16.52
10L_90NL_1_4,10L_90NL,1,m u l ç ˈe ɾ,385,660,58.33
10L_90NL_1_1,10L_90NL,1,o b t e n ˈe ɾ,362,660,54.85
10L_90NL_1_2,10L_90NL,1,o b t e n ˈe ɾ,183,660,27.73
10L_90NL_1_3,10L_90NL,1,o b t e n ˈe ɾ,102,660,15.45
10L_90NL_1_4,10L_90NL,1,o b t e n ˈe ɾ,594,660,90.0
10L_90NL_1_1,10L_90NL,1,s u p e ɾ b e n ˈi ɾ,444,660,67.27
10L_90NL_1_2,10L_90NL,1,s u p e ɾ b e n ˈi ɾ,147,660,22.27
10L_90NL_1_3,10L_90NL,1,s u p e ɾ b e n ˈi ɾ,76,660,11.52
10L_90NL_1_4,10L_90NL,1,s u p e ɾ b e n ˈi ɾ,422,660,63.94
10L_90NL_2_1,10L_90NL,2,b e n d e s ˈi ɾ,156,660,23.64
10L_90NL_2_2,10L_90NL,2,b e n d e s ˈi ɾ,161,660,24.39
10L_90NL_2_3,10L_90NL,2,b e n d e s ˈi ɾ,160,660,24.24
10L_90NL_2_4,10L_90NL,2,b e n d e s ˈi ɾ,155,660,23.48
10L_90NL_2_1,10L_90NL,2,d e b e n ˈi ɾ,313,660,47.42
10L_90NL_2_2,10L_90NL,2,d e b e n ˈi ɾ,289,660,43.79
10L_90NL_2_3,10L_90NL,2,d e b e n ˈi ɾ,313,660,47.42
10L_90NL_2_4,10L_90NL,2,d e b e n ˈi ɾ,325,660,49.24
10L_90NL_2_1,10L_90NL,2,e m u n ç ˈe ɾ,372,660,56.36
10L_90NL_2_2,10L_90NL,2,e m u n ç ˈe ɾ,336,660,50.91
10L_90NL_2_3,10L_90NL,2,e m u n ç ˈe ɾ,343,660,51.97
10L_90NL_2_4,10L_90NL,2,e m u n ç ˈe ɾ,412,660,62.42
10L_90NL_2_1,10L_90NL,2,e n k a n e s ˈe ɾ,659,660,99.85
10L_90NL_2_2,10L_90NL,2,e n k a n e s ˈe ɾ,298,660,45.15
10L_90NL_2_3,10L_90NL,2,e n k a n e s ˈe ɾ,334,660,50.61
10L_90NL_2_4,10L_90NL,2,e n k a n e s ˈe ɾ,653,660,98.94
10L_90NL_2_1,10L_90NL,2,e n s o ɾ d e s ˈe ɾ,654,660,99.09
10L_90NL_2_2,10L_90NL,2,e n s o ɾ d e s ˈe ɾ,308,660,46.67
10L_90NL_2_3,10L_90NL,2,e n s o ɾ d e s ˈe ɾ,351,660,53.18
10L_90NL_2_4,10L_90NL,2,e n s o ɾ d e s ˈe ɾ,575,660,87.12
10L_90NL_2_1,10L_90NL,2,k o n b e n s ˈe ɾ,339,660,51.36
10L_90NL_2_2,10L_90NL,2,k o n b e n s ˈe ɾ,361,660,54.7
10L_90NL_2_3,10L_90NL,2,k o n b e n s ˈe ɾ,525,660,79.55
10L_90NL_2_4,10L_90NL,2,k o n b e n s ˈe ɾ,196,660,29.7
10L_90NL_2_1,10L_90NL,2,o f ɾ e s ˈe ɾ,564,660,85.45
