lemma,correct,total,accuracy,overall_accuracy
p ɾ o b e n ˈi ɾ,2640,2640,100.0,100.0
ɾ e b e ɾ d e s ˈe ɾ,2640,2640,100.0,100.0
e d u s ˈi ɾ,2640,2640,100.0,100.0
s u p o n ˈe ɾ,2640,2640,100.0,100.0
k o n t e n ˈe ɾ,2640,2640,100.0,100.0
k o ç ˈe ɾ,2640,2640,100.0,100.0
ɾ e p o n ˈe ɾ,2640,2640,100.0,100.0
ɾ e d i ɾ i ç ˈi ɾ,2640,2640,100.0,100.0
e m u l ç ˈe ɾ,2640,2640,100.0,100.0
k o n d u s ˈi ɾ,2640,2640,100.0,100.0
e n b a n e s ˈe ɾ,2640,2640,100.0,100.0
l u s ˈi ɾ,2640,2640,100.0,100.0
k o n b e ɾ ç ˈe ɾ,220,220,100.0,100.0
e n f e b ɾ e s ˈe ɾ,2640,2640,100.0,100.0
e n f u ɾ e s ˈe ɾ,2640,2640,100.0,100.0
p ɾ o p o n ˈe ɾ,2640,2640,100.0,100.0
i n d u s ˈi ɾ,2640,2640,100.0,100.0
p u n ç ˈi ɾ,2640,2640,100.0,100.0
f o ɾ t a l e s ˈe ɾ,2640,2640,100.0,100.0
a d o l e s ˈe ɾ,2640,2640,100.0,100.0
p ɾ e b e n ˈi ɾ,2640,2640,100.0,100.0
i n d i s p o n ˈe ɾ,2640,2640,100.0,100.0
a f l i ç ˈi ɾ,2640,2640,100.0,100.0
ɾ e k o m p o n ˈe ɾ,2640,2640,100.0,100.0
e n ɡ ɾ a n d e s ˈe ɾ,2640,2640,100.0,100.0
o s k u ɾ e s ˈe ɾ,2640,2640,100.0,100.0
i n t e ɾ b e n ˈi ɾ,2640,2640,100.0,100.0
o p o n ˈe ɾ,5280,5280,100.0,100.0
k o m p o n ˈe ɾ,2640,2640,100.0,100.0
e n l o k e s ˈe ɾ,2640,2640,100.0,100.0
e n a ɾ d e s ˈe ɾ,5279,5280,99.98125,99.98
e n k a ʃ e s ˈe ɾ,5279,5280,99.98125,99.98
d e s l u s ˈi ɾ,2639,2640,99.9625,99.96
i n b e n ˈi ɾ,2639,2640,99.9625,99.96
ɾ e k o ç ˈe ɾ,2639,2640,99.9625,99.96
d i ɾ i ç ˈi ɾ,2638,2640,99.925,99.92
ɾ e k ɾ u d e s ˈe ɾ,2638,2640,99.925,99.92
d e ɾ e l i n k ˈi ɾ,2637,2640,99.8875,99.89
e m e ɾ ç ˈe ɾ,2637,2640,99.8875,99.89
k o n t ɾ a ˈe ɾ,2636,2640,99.8475,99.85
k o n b e ɾ ç ˈi ɾ,2416,2420,99.83500000000001,99.83
e n l u s ˈi ɾ,5268,5280,99.77250000000001,99.77
a t e n ˈe ɾ,2633,2640,99.735,99.73
a p o n ˈe ɾ,2632,2640,99.69749999999999,99.7
d i b e ɾ ç ˈi ɾ,2632,2640,99.6975,99.7
d e s b a n e s ˈe ɾ,7894,7920,99.67166666666667,99.67
e n k o ç ˈe ɾ,2629,2640,99.5825,99.58
ɾ e s t ɾ i n ç ˈi ɾ,2629,2640,99.58500000000001,99.58
s o s t e n ˈe ɾ,2628,2640,99.545,99.55
s i ɾ k u n b e n ˈi ɾ,5249,5280,99.41375,99.41
a k o n t e s ˈe ɾ,2622,2640,99.3175,99.32
