lemma,target_tag,correct,total,overall_accuracy
a b e n ˈi ɾ,V;IND;PRS;1;PL,220,220,100.0
a b e n ˈi ɾ,V;IND;PRS;1;SG,213,220,96.82
a b e n ˈi ɾ,V;IND;PRS;2;PL,220,220,100.0
a b e n ˈi ɾ,V;IND;PRS;2;SG,218,220,99.09
a b e n ˈi ɾ,V;IND;PRS;3;PL,217,220,98.64
a b e n ˈi ɾ,V;IND;PRS;3;SG,218,220,99.09
a b e n ˈi ɾ,V;SBJV;PRS;1;PL,217,220,98.64
a b e n ˈi ɾ,V;SBJV;PRS;1;SG,217,220,98.64
a b e n ˈi ɾ,V;SBJV;PRS;2;PL,219,220,99.55
a b e n ˈi ɾ,V;SBJV;PRS;2;SG,217,220,98.64
a b e n ˈi ɾ,V;SBJV;PRS;3;PL,217,220,98.64
a b e n ˈi ɾ,V;SBJV;PRS;3;SG,216,220,98.18
a b o r e s ˈe ɾ,V;IND;PRS;1;PL,370,440,84.09
a b o r e s ˈe ɾ,V;IND;PRS;1;SG,430,440,97.73
a b o r e s ˈe ɾ,V;IND;PRS;2;PL,390,440,88.64
a b o r e s ˈe ɾ,V;IND;PRS;2;SG,370,440,84.09
a b o r e s ˈe ɾ,V;IND;PRS;3;PL,412,440,93.64
a b o r e s ˈe ɾ,V;IND;PRS;3;SG,384,440,87.27
a b o r e s ˈe ɾ,V;SBJV;PRS;1;PL,440,440,100.0
a b o r e s ˈe ɾ,V;SBJV;PRS;1;SG,432,440,98.18
a b o r e s ˈe ɾ,V;SBJV;PRS;2;PL,434,440,98.64
a b o r e s ˈe ɾ,V;SBJV;PRS;2;SG,432,440,98.18
a b o r e s ˈe ɾ,V;SBJV;PRS;3;PL,432,440,98.18
a b o r e s ˈe ɾ,V;SBJV;PRS;3;SG,423,440,96.14
a b s t ɾ a ˈe ɾ,V;IND;PRS;1;PL,434,440,98.64
a b s t ɾ a ˈe ɾ,V;IND;PRS;1;SG,424,440,96.36
a b s t ɾ a ˈe ɾ,V;IND;PRS;2;PL,436,440,99.09
a b s t ɾ a ˈe ɾ,V;IND;PRS;2;SG,431,440,97.95
a b s t ɾ a ˈe ɾ,V;IND;PRS;3;PL,427,440,97.05
a b s t ɾ a ˈe ɾ,V;IND;PRS;3;SG,428,440,97.27
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;1;PL,418,440,95.0
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;1;SG,422,440,95.91
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;2;PL,425,440,96.59
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;2;SG,426,440,96.82
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;3;PL,425,440,96.59
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;3;SG,418,440,95.0
a d o l e s ˈe ɾ,V;IND;PRS;1;PL,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;1;SG,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;2;PL,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;2;SG,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;3;PL,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;3;SG,220,220,100.0
