lemma,target_tag,correct,total,accuracy
b e n d e s ˈi ɾ,V;IND;PRS;1;PL,10,55,18.18
b e n d e s ˈi ɾ,V;IND;PRS;1;SG,15,55,27.27
b e n d e s ˈi ɾ,V;IND;PRS;2;PL,10,55,18.18
b e n d e s ˈi ɾ,V;IND;PRS;2;SG,15,55,27.27
b e n d e s ˈi ɾ,V;IND;PRS;3;PL,15,55,27.27
b e n d e s ˈi ɾ,V;IND;PRS;3;SG,15,55,27.27
b e n d e s ˈi ɾ,V;SBJV;PRS;1;PL,15,55,27.27
b e n d e s ˈi ɾ,V;SBJV;PRS;1;SG,15,55,27.27
b e n d e s ˈi ɾ,V;SBJV;PRS;2;PL,0,55,0.0
b e n d e s ˈi ɾ,V;SBJV;PRS;2;SG,15,55,27.27
b e n d e s ˈi ɾ,V;SBJV;PRS;3;PL,15,55,27.27
b e n d e s ˈi ɾ,V;SBJV;PRS;3;SG,15,55,27.27
d e b e n ˈi ɾ,V;IND;PRS;1;PL,6,55,10.91
d e b e n ˈi ɾ,V;IND;PRS;1;SG,53,55,96.36
d e b e n ˈi ɾ,V;IND;PRS;2;PL,9,55,16.36
d e b e n ˈi ɾ,V;IND;PRS;2;SG,1,55,1.82
d e b e n ˈi ɾ,V;IND;PRS;3;PL,1,55,1.82
d e b e n ˈi ɾ,V;IND;PRS;3;SG,1,55,1.82
d e b e n ˈi ɾ,V;SBJV;PRS;1;PL,54,55,98.18
d e b e n ˈi ɾ,V;SBJV;PRS;1;SG,51,55,92.73
d e b e n ˈi ɾ,V;SBJV;PRS;2;PL,12,55,21.82
d e b e n ˈi ɾ,V;SBJV;PRS;2;SG,52,55,94.55
d e b e n ˈi ɾ,V;SBJV;PRS;3;PL,52,55,94.55
d e b e n ˈi ɾ,V;SBJV;PRS;3;SG,51,55,92.73
e m u n ç ˈe ɾ,V;IND;PRS;1;PL,55,55,100.0
e m u n ç ˈe ɾ,V;IND;PRS;1;SG,55,55,100.0
e m u n ç ˈe ɾ,V;IND;PRS;2;PL,55,55,100.0
e m u n ç ˈe ɾ,V;IND;PRS;2;SG,55,55,100.0
e m u n ç ˈe ɾ,V;IND;PRS;3;PL,55,55,100.0
e m u n ç ˈe ɾ,V;IND;PRS;3;SG,55,55,100.0
e m u n ç ˈe ɾ,V;SBJV;PRS;1;PL,55,55,100.0
e m u n ç ˈe ɾ,V;SBJV;PRS;1;SG,55,55,100.0
e m u n ç ˈe ɾ,V;SBJV;PRS;2;PL,55,55,100.0
e m u n ç ˈe ɾ,V;SBJV;PRS;2;SG,55,55,100.0
e m u n ç ˈe ɾ,V;SBJV;PRS;3;PL,55,55,100.0
e m u n ç ˈe ɾ,V;SBJV;PRS;3;SG,55,55,100.0
e n k a n e s ˈe ɾ,V;IND;PRS;1;PL,55,55,100.0
e n k a n e s ˈe ɾ,V;IND;PRS;1;SG,55,55,100.0
e n k a n e s ˈe ɾ,V;IND;PRS;2;PL,55,55,100.0
e n k a n e s ˈe ɾ,V;IND;PRS;2;SG,55,55,100.0
e n k a n e s ˈe ɾ,V;IND;PRS;3;PL,55,55,100.0
e n k a n e s ˈe ɾ,V;IND;PRS;3;SG,55,55,100.0
e n k a n e s ˈe ɾ,V;SBJV;PRS;1;PL,55,55,100.0
e n k a n e s ˈe ɾ,V;SBJV;PRS;1;SG,55,55,100.0
e n k a n e s ˈe ɾ,V;SBJV;PRS;2;PL,55,55,100.0
e n k a n e s ˈe ɾ,V;SBJV;PRS;2;SG,55,55,100.0
e n k a n e s ˈe ɾ,V;SBJV;PRS;3;PL,55,55,100.0
e n k a n e s ˈe ɾ,V;SBJV;PRS;3;SG,55,55,100.0
e n s o ɾ d e s ˈe ɾ,V;IND;PRS;1;PL,55,55,100.0
e n s o ɾ d e s ˈe ɾ,V;IND;PRS;1;SG,55,55,100.0
e n s o ɾ d e s ˈe ɾ,V;IND;PRS;2;PL,55,55,100.0
e n s o ɾ d e s ˈe ɾ,V;IND;PRS;2;SG,55,55,100.0
e n s o ɾ d e s ˈe ɾ,V;IND;PRS;3;PL,55,55,100.0
e n s o ɾ d e s ˈe ɾ,V;IND;PRS;3;SG,55,55,100.0
e n s o ɾ d e s ˈe ɾ,V;SBJV;PRS;1;PL,55,55,100.0
e n s o ɾ d e s ˈe ɾ,V;SBJV;PRS;1;SG,55,55,100.0
e n s o ɾ d e s ˈe ɾ,V;SBJV;PRS;2;PL,55,55,100.0
e n s o ɾ d e s ˈe ɾ,V;SBJV;PRS;2;SG,55,55,100.0
e n s o ɾ d e s ˈe ɾ,V;SBJV;PRS;3;PL,55,55,100.0
e n s o ɾ d e s ˈe ɾ,V;SBJV;PRS;3;SG,55,55,100.0
k o n b e n s ˈe ɾ,V;IND;PRS;1;PL,47,55,85.45
k o n b e n s ˈe ɾ,V;IND;PRS;1;SG,55,55,100.0
k o n b e n s ˈe ɾ,V;IND;PRS;2;PL,44,55,80.0
k o n b e n s ˈe ɾ,V;IND;PRS;2;SG,2,55,3.64
k o n b e n s ˈe ɾ,V;IND;PRS;3;PL,1,55,1.82
k o n b e n s ˈe ɾ,V;IND;PRS;3;SG,1,55,1.82
k o n b e n s ˈe ɾ,V;SBJV;PRS;1;PL,54,55,98.18
k o n b e n s ˈe ɾ,V;SBJV;PRS;1;SG,55,55,100.0
k o n b e n s ˈe ɾ,V;SBJV;PRS;2;PL,52,55,94.55
k o n b e n s ˈe ɾ,V;SBJV;PRS;2;SG,55,55,100.0
k o n b e n s ˈe ɾ,V;SBJV;PRS;3;PL,55,55,100.0
k o n b e n s ˈe ɾ,V;SBJV;PRS;3;SG,55,55,100.0
o f ɾ e s ˈe ɾ,V;IND;PRS;1;PL,53,55,96.36
o f ɾ e s ˈe ɾ,V;IND;PRS;1;SG,55,55,100.0
o f ɾ e s ˈe ɾ,V;IND;PRS;2;PL,55,55,100.0
o f ɾ e s ˈe ɾ,V;IND;PRS;2;SG,52,55,94.55
o f ɾ e s ˈe ɾ,V;IND;PRS;3;PL,54,55,98.18
o f ɾ e s ˈe ɾ,V;IND;PRS;3;SG,52,55,94.55
o f ɾ e s ˈe ɾ,V;SBJV;PRS;1;PL,55,55,100.0
o f ɾ e s ˈe ɾ,V;SBJV;PRS;1;SG,55,55,100.0
o f ɾ e s ˈe ɾ,V;SBJV;PRS;2;PL,48,55,87.27
o f ɾ e s ˈe ɾ,V;SBJV;PRS;2;SG,55,55,100.0
o f ɾ e s ˈe ɾ,V;SBJV;PRS;3;PL,55,55,100.0
o f ɾ e s ˈe ɾ,V;SBJV;PRS;3;SG,55,55,100.0
