model,condition,run,lemma,target_tag,correct,total,accuracy
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;1;PL,55,55,100.0
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;1;PL,55,55,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;1;PL,7,55,12.73
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;1;PL,55,55,100.0
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;1;SG,55,55,100.0
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;1;SG,55,55,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;1;SG,48,55,87.27
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;1;SG,34,55,61.82
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;2;PL,54,55,98.18
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;2;PL,55,55,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;2;PL,4,55,7.27
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;2;PL,55,55,100.0
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;2;SG,55,55,100.0
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;2;SG,55,55,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;2;SG,6,55,10.91
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;2;SG,49,55,89.09
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;3;PL,55,55,100.0
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;3;PL,55,55,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;3;PL,5,55,9.09
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;3;PL,46,55,83.64
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;3;SG,55,55,100.0
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;3;SG,55,55,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;3;SG,2,55,3.64
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;IND;PRS;3;SG,44,55,80.0
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;1;PL,55,55,100.0
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;1;PL,55,55,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;1;PL,45,55,81.82
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;1;PL,55,55,100.0
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;1;SG,55,55,100.0
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;1;SG,55,55,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;1;SG,48,55,87.27
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;1;SG,53,55,96.36
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;2;PL,55,55,100.0
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;2;PL,55,55,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;2;PL,45,55,81.82
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;2;PL,55,55,100.0
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;2;SG,55,55,100.0
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;2;SG,55,55,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;2;SG,49,55,89.09
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;2;SG,50,55,90.91
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;3;PL,55,55,100.0
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;3;PL,55,55,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;3;PL,49,55,89.09
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;3;PL,51,55,92.73
10L_90NL_1_1,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;3;SG,55,55,100.0
10L_90NL_1_2,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;3;SG,55,55,100.0
10L_90NL_1_3,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;3;SG,48,55,87.27
10L_90NL_1_4,10L_90NL,1,i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;3;SG,52,55,94.55
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;1;PL,55,55,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;1;PL,55,55,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;1;PL,30,55,54.55
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;1;PL,0,55,0.0
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;1;SG,55,55,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;1;SG,55,55,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;1;SG,40,55,72.73
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;1;SG,41,55,74.55
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;2;PL,55,55,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;2;PL,55,55,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;2;PL,34,55,61.82
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;2;PL,0,55,0.0
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;2;SG,55,55,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;2;SG,55,55,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;2;SG,25,55,45.45
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;2;SG,22,55,40.0
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;3;PL,55,55,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;3;PL,55,55,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;3;PL,24,55,43.64
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;3;PL,20,55,36.36
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;3;SG,55,55,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;3;SG,55,55,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;3;SG,19,55,34.55
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,V;IND;PRS;3;SG,38,55,69.09
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;1;PL,55,55,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;1;PL,55,55,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;1;PL,27,55,49.09
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;1;PL,23,55,41.82
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;1;SG,55,55,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;1;SG,55,55,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;1;SG,29,55,52.73
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;1;SG,40,55,72.73
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;2;PL,55,55,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;2;PL,55,55,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;2;PL,22,55,40.0
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;2;PL,19,55,34.55
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;2;SG,55,55,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;2;SG,55,55,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;2;SG,25,55,45.45
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;2;SG,34,55,61.82
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;3;PL,55,55,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;3;PL,55,55,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;3;PL,19,55,34.55
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;3;PL,28,55,50.91
10L_90NL_1_1,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;3;SG,55,55,100.0
10L_90NL_1_2,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;3;SG,55,55,100.0
10L_90NL_1_3,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;3;SG,29,55,52.73
10L_90NL_1_4,10L_90NL,1,k o m p a d e s ˈe ɾ,V;SBJV;PRS;3;SG,39,55,70.91
10L_90NL_1_1,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;1;PL,16,55,29.09
10L_90NL_1_2,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;1;PL,27,55,49.09
10L_90NL_1_3,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;1;PL,30,55,54.55
10L_90NL_1_4,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;1;PL,34,55,61.82
10L_90NL_1_1,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;1;SG,22,55,40.0
10L_90NL_1_2,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;1;SG,25,55,45.45
10L_90NL_1_3,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;1;SG,28,55,50.91
10L_90NL_1_4,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;1;SG,28,55,50.91
10L_90NL_1_1,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;2;PL,15,55,27.27
10L_90NL_1_2,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;2;PL,23,55,41.82
10L_90NL_1_3,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;2;PL,27,55,49.09
10L_90NL_1_4,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;2;PL,34,55,61.82
10L_90NL_1_1,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;2;SG,20,55,36.36
10L_90NL_1_2,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;2;SG,17,55,30.91
10L_90NL_1_3,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;2;SG,21,55,38.18
10L_90NL_1_4,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;2;SG,34,55,61.82
10L_90NL_1_1,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;3;PL,20,55,36.36
10L_90NL_1_2,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;3;PL,17,55,30.91
10L_90NL_1_3,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;3;PL,19,55,34.55
10L_90NL_1_4,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;3;PL,33,55,60.0
10L_90NL_1_1,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;3;SG,19,55,34.55
10L_90NL_1_2,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;3;SG,14,55,25.45
10L_90NL_1_3,10L_90NL,1,k o n o s ˈe ɾ,V;IND;PRS;3;SG,16,55,29.09
