lemma,target_tag,correct,total,overall_accuracy
a b e n ˈi ɾ,V;IND;PRS;1;PL,177,220,80.45
a b e n ˈi ɾ,V;IND;PRS;1;SG,153,220,69.55
a b e n ˈi ɾ,V;IND;PRS;2;PL,179,220,81.36
a b e n ˈi ɾ,V;IND;PRS;2;SG,155,220,70.45
a b e n ˈi ɾ,V;IND;PRS;3;PL,151,220,68.64
a b e n ˈi ɾ,V;IND;PRS;3;SG,163,220,74.09
a b e n ˈi ɾ,V;SBJV;PRS;1;PL,175,220,79.55
a b e n ˈi ɾ,V;SBJV;PRS;1;SG,157,220,71.36
a b e n ˈi ɾ,V;SBJV;PRS;2;PL,157,220,71.36
a b e n ˈi ɾ,V;SBJV;PRS;2;SG,154,220,70.0
a b e n ˈi ɾ,V;SBJV;PRS;3;PL,153,220,69.55
a b e n ˈi ɾ,V;SBJV;PRS;3;SG,155,220,70.45
a b o r e s ˈe ɾ,V;IND;PRS;1;PL,440,440,100.0
a b o r e s ˈe ɾ,V;IND;PRS;1;SG,440,440,100.0
a b o r e s ˈe ɾ,V;IND;PRS;2;PL,440,440,100.0
a b o r e s ˈe ɾ,V;IND;PRS;2;SG,440,440,100.0
a b o r e s ˈe ɾ,V;IND;PRS;3;PL,440,440,100.0
a b o r e s ˈe ɾ,V;IND;PRS;3;SG,440,440,100.0
a b o r e s ˈe ɾ,V;SBJV;PRS;1;PL,440,440,100.0
a b o r e s ˈe ɾ,V;SBJV;PRS;1;SG,440,440,100.0
a b o r e s ˈe ɾ,V;SBJV;PRS;2;PL,440,440,100.0
a b o r e s ˈe ɾ,V;SBJV;PRS;2;SG,440,440,100.0
a b o r e s ˈe ɾ,V;SBJV;PRS;3;PL,440,440,100.0
a b o r e s ˈe ɾ,V;SBJV;PRS;3;SG,440,440,100.0
a b s t ɾ a ˈe ɾ,V;IND;PRS;1;PL,440,440,100.0
a b s t ɾ a ˈe ɾ,V;IND;PRS;1;SG,429,440,97.5
a b s t ɾ a ˈe ɾ,V;IND;PRS;2;PL,440,440,100.0
a b s t ɾ a ˈe ɾ,V;IND;PRS;2;SG,434,440,98.64
a b s t ɾ a ˈe ɾ,V;IND;PRS;3;PL,434,440,98.64
a b s t ɾ a ˈe ɾ,V;IND;PRS;3;SG,435,440,98.86
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;1;PL,440,440,100.0
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;1;SG,425,440,96.59
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;2;PL,439,440,99.77
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;2;SG,431,440,97.95
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;3;PL,430,440,97.73
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;3;SG,426,440,96.82
a d o l e s ˈe ɾ,V;IND;PRS;1;PL,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;1;SG,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;2;PL,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;2;SG,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;3;PL,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;3;SG,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;1;PL,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;1;SG,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;2;PL,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;2;SG,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;3;PL,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;3;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;1;PL,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;1;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;2;PL,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;2;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;3;PL,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;3;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;1;PL,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;1;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;2;PL,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;2;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;3;PL,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;3;SG,220,220,100.0
a d u s ˈi ɾ,V;IND;PRS;1;PL,219,220,99.55
a d u s ˈi ɾ,V;IND;PRS;1;SG,174,220,79.09
a d u s ˈi ɾ,V;IND;PRS;2;PL,220,220,100.0
a d u s ˈi ɾ,V;IND;PRS;2;SG,220,220,100.0
a d u s ˈi ɾ,V;IND;PRS;3;PL,220,220,100.0
a d u s ˈi ɾ,V;IND;PRS;3;SG,220,220,100.0
a d u s ˈi ɾ,V;SBJV;PRS;1;PL,213,220,96.82
a d u s ˈi ɾ,V;SBJV;PRS;1;SG,168,220,76.36
a d u s ˈi ɾ,V;SBJV;PRS;2;PL,215,220,97.73
a d u s ˈi ɾ,V;SBJV;PRS;2;SG,161,220,73.18
a d u s ˈi ɾ,V;SBJV;PRS;3;PL,164,220,74.55
a d u s ˈi ɾ,V;SBJV;PRS;3;SG,167,220,75.91
a d ʃ a s ˈe ɾ,V;IND;PRS;1;PL,368,440,83.64
a d ʃ a s ˈe ɾ,V;IND;PRS;1;SG,385,440,87.5
a d ʃ a s ˈe ɾ,V;IND;PRS;2;PL,363,440,82.5
a d ʃ a s ˈe ɾ,V;IND;PRS;2;SG,385,440,87.5
a d ʃ a s ˈe ɾ,V;IND;PRS;3;PL,385,440,87.5
a d ʃ a s ˈe ɾ,V;IND;PRS;3;SG,385,440,87.5
a d ʃ a s ˈe ɾ,V;SBJV;PRS;1;PL,414,440,94.09
a d ʃ a s ˈe ɾ,V;SBJV;PRS;1;SG,385,440,87.5
a d ʃ a s ˈe ɾ,V;SBJV;PRS;2;PL,419,440,95.23
a d ʃ a s ˈe ɾ,V;SBJV;PRS;2;SG,385,440,87.5
a d ʃ a s ˈe ɾ,V;SBJV;PRS;3;PL,385,440,87.5
a d ʃ a s ˈe ɾ,V;SBJV;PRS;3;SG,385,440,87.5
