lemma,target_tag,correct,total,overall_accuracy
a b e n ˈi ɾ,V;IND;PRS;1;PL,214,220,97.27
a b e n ˈi ɾ,V;IND;PRS;1;SG,206,220,93.64
a b e n ˈi ɾ,V;IND;PRS;2;PL,216,220,98.18
a b e n ˈi ɾ,V;IND;PRS;2;SG,203,220,92.27
a b e n ˈi ɾ,V;IND;PRS;3;PL,208,220,94.55
a b e n ˈi ɾ,V;IND;PRS;3;SG,200,220,90.91
a b e n ˈi ɾ,V;SBJV;PRS;1;PL,213,220,96.82
a b e n ˈi ɾ,V;SBJV;PRS;1;SG,201,220,91.36
a b e n ˈi ɾ,V;SBJV;PRS;2;PL,213,220,96.82
a b e n ˈi ɾ,V;SBJV;PRS;2;SG,201,220,91.36
a b e n ˈi ɾ,V;SBJV;PRS;3;PL,203,220,92.27
a b e n ˈi ɾ,V;SBJV;PRS;3;SG,200,220,90.91
a b o r e s ˈe ɾ,V;IND;PRS;1;PL,429,440,97.5
a b o r e s ˈe ɾ,V;IND;PRS;1;SG,440,440,100.0
a b o r e s ˈe ɾ,V;IND;PRS;2;PL,434,440,98.64
a b o r e s ˈe ɾ,V;IND;PRS;2;SG,440,440,100.0
a b o r e s ˈe ɾ,V;IND;PRS;3;PL,440,440,100.0
a b o r e s ˈe ɾ,V;IND;PRS;3;SG,440,440,100.0
a b o r e s ˈe ɾ,V;SBJV;PRS;1;PL,404,440,91.82
a b o r e s ˈe ɾ,V;SBJV;PRS;1;SG,440,440,100.0
a b o r e s ˈe ɾ,V;SBJV;PRS;2;PL,416,440,94.55
a b o r e s ˈe ɾ,V;SBJV;PRS;2;SG,440,440,100.0
a b o r e s ˈe ɾ,V;SBJV;PRS;3;PL,440,440,100.0
a b o r e s ˈe ɾ,V;SBJV;PRS;3;SG,440,440,100.0
a b s t ɾ a ˈe ɾ,V;IND;PRS;1;PL,439,440,99.77
a b s t ɾ a ˈe ɾ,V;IND;PRS;1;SG,430,440,97.73
a b s t ɾ a ˈe ɾ,V;IND;PRS;2;PL,437,440,99.32
a b s t ɾ a ˈe ɾ,V;IND;PRS;2;SG,436,440,99.09
a b s t ɾ a ˈe ɾ,V;IND;PRS;3;PL,434,440,98.64
a b s t ɾ a ˈe ɾ,V;IND;PRS;3;SG,434,440,98.64
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;1;PL,438,440,99.55
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;1;SG,440,440,100.0
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;2;PL,440,440,100.0
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;2;SG,440,440,100.0
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;3;PL,438,440,99.55
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;3;SG,440,440,100.0
a d o l e s ˈe ɾ,V;IND;PRS;1;PL,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;1;SG,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;2;PL,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;2;SG,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;3;PL,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;3;SG,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;1;PL,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;1;SG,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;2;PL,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;2;SG,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;3;PL,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;3;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;1;PL,214,220,97.27
a d o ɾ m e s ˈe ɾ,V;IND;PRS;1;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;2;PL,216,220,98.18
a d o ɾ m e s ˈe ɾ,V;IND;PRS;2;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;3;PL,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;3;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;1;PL,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;1;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;2;PL,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;2;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;3;PL,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;3;SG,220,220,100.0
a d u s ˈi ɾ,V;IND;PRS;1;PL,220,220,100.0
a d u s ˈi ɾ,V;IND;PRS;1;SG,207,220,94.09
a d u s ˈi ɾ,V;IND;PRS;2;PL,220,220,100.0
a d u s ˈi ɾ,V;IND;PRS;2;SG,214,220,97.27
a d u s ˈi ɾ,V;IND;PRS;3;PL,217,220,98.64
a d u s ˈi ɾ,V;IND;PRS;3;SG,217,220,98.64
a d u s ˈi ɾ,V;SBJV;PRS;1;PL,175,220,79.55
a d u s ˈi ɾ,V;SBJV;PRS;1;SG,212,220,96.36
a d u s ˈi ɾ,V;SBJV;PRS;2;PL,175,220,79.55
a d u s ˈi ɾ,V;SBJV;PRS;2;SG,214,220,97.27
a d u s ˈi ɾ,V;SBJV;PRS;3;PL,216,220,98.18
a d u s ˈi ɾ,V;SBJV;PRS;3;SG,212,220,96.36
a d ʃ a s ˈe ɾ,V;IND;PRS;1;PL,300,440,68.18
a d ʃ a s ˈe ɾ,V;IND;PRS;1;SG,297,440,67.5
a d ʃ a s ˈe ɾ,V;IND;PRS;2;PL,300,440,68.18
a d ʃ a s ˈe ɾ,V;IND;PRS;2;SG,283,440,64.32
a d ʃ a s ˈe ɾ,V;IND;PRS;3;PL,312,440,70.91
a d ʃ a s ˈe ɾ,V;IND;PRS;3;SG,301,440,68.41
a d ʃ a s ˈe ɾ,V;SBJV;PRS;1;PL,294,440,66.82
a d ʃ a s ˈe ɾ,V;SBJV;PRS;1;SG,286,440,65.0
a d ʃ a s ˈe ɾ,V;SBJV;PRS;2;PL,296,440,67.27
a d ʃ a s ˈe ɾ,V;SBJV;PRS;2;SG,291,440,66.14
a d ʃ a s ˈe ɾ,V;SBJV;PRS;3;PL,289,440,65.68
a d ʃ a s ˈe ɾ,V;SBJV;PRS;3;SG,288,440,65.45
a f l i ç ˈi ɾ,V;IND;PRS;1;PL,217,220,98.64
a f l i ç ˈi ɾ,V;IND;PRS;1;SG,220,220,100.0
a f l i ç ˈi ɾ,V;IND;PRS;2;PL,220,220,100.0
a f l i ç ˈi ɾ,V;IND;PRS;2;SG,220,220,100.0
a f l i ç ˈi ɾ,V;IND;PRS;3;PL,220,220,100.0
a f l i ç ˈi ɾ,V;IND;PRS;3;SG,220,220,100.0
a f l i ç ˈi ɾ,V;SBJV;PRS;1;PL,219,220,99.55
a f l i ç ˈi ɾ,V;SBJV;PRS;1;SG,220,220,100.0
a f l i ç ˈi ɾ,V;SBJV;PRS;2;PL,220,220,100.0
a f l i ç ˈi ɾ,V;SBJV;PRS;2;SG,220,220,100.0
a f l i ç ˈi ɾ,V;SBJV;PRS;3;PL,220,220,100.0
a f l i ç ˈi ɾ,V;SBJV;PRS;3;SG,220,220,100.0
a k a e s ˈe ɾ,V;IND;PRS;1;PL,135,220,61.36
a k a e s ˈe ɾ,V;IND;PRS;1;SG,121,220,55.0
a k a e s ˈe ɾ,V;IND;PRS;2;PL,101,220,45.91
a k a e s ˈe ɾ,V;IND;PRS;2;SG,122,220,55.45
a k a e s ˈe ɾ,V;IND;PRS;3;PL,134,220,60.91
a k a e s ˈe ɾ,V;IND;PRS;3;SG,136,220,61.82
a k a e s ˈe ɾ,V;SBJV;PRS;1;PL,101,220,45.91
a k a e s ˈe ɾ,V;SBJV;PRS;1;SG,112,220,50.91
a k a e s ˈe ɾ,V;SBJV;PRS;2;PL,95,220,43.18
a k a e s ˈe ɾ,V;SBJV;PRS;2;SG,113,220,51.36
a k a e s ˈe ɾ,V;SBJV;PRS;3;PL,111,220,50.45
a k a e s ˈe ɾ,V;SBJV;PRS;3;SG,115,220,52.27
a k o n t e s ˈe ɾ,V;IND;PRS;1;PL,220,220,100.0
a k o n t e s ˈe ɾ,V;IND;PRS;1;SG,220,220,100.0
a k o n t e s ˈe ɾ,V;IND;PRS;2;PL,220,220,100.0
a k o n t e s ˈe ɾ,V;IND;PRS;2;SG,220,220,100.0
a k o n t e s ˈe ɾ,V;IND;PRS;3;PL,220,220,100.0
a k o n t e s ˈe ɾ,V;IND;PRS;3;SG,220,220,100.0
a k o n t e s ˈe ɾ,V;SBJV;PRS;1;PL,220,220,100.0
a k o n t e s ˈe ɾ,V;SBJV;PRS;1;SG,220,220,100.0
