lemma,target_tag,correct,total,accuracy
i n f ɾ i n ç ˈi ɾ,V;IND;PRS;1;PL,55,55,100.0
i n f ɾ i n ç ˈi ɾ,V;IND;PRS;1;SG,55,55,100.0
i n f ɾ i n ç ˈi ɾ,V;IND;PRS;2;PL,55,55,100.0
i n f ɾ i n ç ˈi ɾ,V;IND;PRS;2;SG,55,55,100.0
i n f ɾ i n ç ˈi ɾ,V;IND;PRS;3;PL,55,55,100.0
i n f ɾ i n ç ˈi ɾ,V;IND;PRS;3;SG,55,55,100.0
i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;1;PL,55,55,100.0
i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;1;SG,55,55,100.0
i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;2;PL,55,55,100.0
i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;2;SG,55,55,100.0
i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;3;PL,55,55,100.0
i n f ɾ i n ç ˈi ɾ,V;SBJV;PRS;3;SG,55,55,100.0
k o m p a d e s ˈe ɾ,V;IND;PRS;1;PL,55,55,100.0
k o m p a d e s ˈe ɾ,V;IND;PRS;1;SG,55,55,100.0
k o m p a d e s ˈe ɾ,V;IND;PRS;2;PL,55,55,100.0
k o m p a d e s ˈe ɾ,V;IND;PRS;2;SG,55,55,100.0
k o m p a d e s ˈe ɾ,V;IND;PRS;3;PL,55,55,100.0
k o m p a d e s ˈe ɾ,V;IND;PRS;3;SG,55,55,100.0
k o m p a d e s ˈe ɾ,V;SBJV;PRS;1;PL,55,55,100.0
k o m p a d e s ˈe ɾ,V;SBJV;PRS;1;SG,55,55,100.0
k o m p a d e s ˈe ɾ,V;SBJV;PRS;2;PL,55,55,100.0
k o m p a d e s ˈe ɾ,V;SBJV;PRS;2;SG,55,55,100.0
k o m p a d e s ˈe ɾ,V;SBJV;PRS;3;PL,55,55,100.0
k o m p a d e s ˈe ɾ,V;SBJV;PRS;3;SG,55,55,100.0
k o n o s ˈe ɾ,V;IND;PRS;1;PL,46,55,83.64
k o n o s ˈe ɾ,V;IND;PRS;1;SG,39,55,70.91
k o n o s ˈe ɾ,V;IND;PRS;2;PL,41,55,74.55
k o n o s ˈe ɾ,V;IND;PRS;2;SG,54,55,98.18
k o n o s ˈe ɾ,V;IND;PRS;3;PL,54,55,98.18
k o n o s ˈe ɾ,V;IND;PRS;3;SG,55,55,100.0
k o n o s ˈe ɾ,V;SBJV;PRS;1;PL,40,55,72.73
k o n o s ˈe ɾ,V;SBJV;PRS;1;SG,30,55,54.55
