lemma,target_tag,correct,total,overall_accuracy
a b e n ˈi ɾ,V;IND;PRS;1;PL,216,220,98.18
a b e n ˈi ɾ,V;IND;PRS;1;SG,185,220,84.09
a b e n ˈi ɾ,V;IND;PRS;2;PL,216,220,98.18
a b e n ˈi ɾ,V;IND;PRS;2;SG,178,220,80.91
a b e n ˈi ɾ,V;IND;PRS;3;PL,179,220,81.36
a b e n ˈi ɾ,V;IND;PRS;3;SG,189,220,85.91
a b e n ˈi ɾ,V;SBJV;PRS;1;PL,217,220,98.64
a b e n ˈi ɾ,V;SBJV;PRS;1;SG,192,220,87.27
a b e n ˈi ɾ,V;SBJV;PRS;2;PL,216,220,98.18
a b e n ˈi ɾ,V;SBJV;PRS;2;SG,198,220,90.0
a b e n ˈi ɾ,V;SBJV;PRS;3;PL,185,220,84.09
a b e n ˈi ɾ,V;SBJV;PRS;3;SG,193,220,87.73
a b o r e s ˈe ɾ,V;IND;PRS;1;PL,398,440,90.45
a b o r e s ˈe ɾ,V;IND;PRS;1;SG,440,440,100.0
a b o r e s ˈe ɾ,V;IND;PRS;2;PL,429,440,97.5
a b o r e s ˈe ɾ,V;IND;PRS;2;SG,377,440,85.68
a b o r e s ˈe ɾ,V;IND;PRS;3;PL,379,440,86.14
a b o r e s ˈe ɾ,V;IND;PRS;3;SG,359,440,81.59
a b o r e s ˈe ɾ,V;SBJV;PRS;1;PL,416,440,94.55
a b o r e s ˈe ɾ,V;SBJV;PRS;1;SG,439,440,99.77
a b o r e s ˈe ɾ,V;SBJV;PRS;2;PL,427,440,97.05
a b o r e s ˈe ɾ,V;SBJV;PRS;2;SG,430,440,97.73
a b o r e s ˈe ɾ,V;SBJV;PRS;3;PL,439,440,99.77
a b o r e s ˈe ɾ,V;SBJV;PRS;3;SG,439,440,99.77
a b s t ɾ a ˈe ɾ,V;IND;PRS;1;PL,438,440,99.55
a b s t ɾ a ˈe ɾ,V;IND;PRS;1;SG,418,440,95.0
a b s t ɾ a ˈe ɾ,V;IND;PRS;2;PL,440,440,100.0
a b s t ɾ a ˈe ɾ,V;IND;PRS;2;SG,437,440,99.32
a b s t ɾ a ˈe ɾ,V;IND;PRS;3;PL,435,440,98.86
a b s t ɾ a ˈe ɾ,V;IND;PRS;3;SG,436,440,99.09
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;1;PL,418,440,95.0
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;1;SG,418,440,95.0
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;2;PL,438,440,99.55
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;2;SG,418,440,95.0
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;3;PL,416,440,94.55
a b s t ɾ a ˈe ɾ,V;SBJV;PRS;3;SG,420,440,95.45
a d o l e s ˈe ɾ,V;IND;PRS;1;PL,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;1;SG,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;2;PL,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;2;SG,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;3;PL,220,220,100.0
a d o l e s ˈe ɾ,V;IND;PRS;3;SG,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;1;PL,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;1;SG,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;2;PL,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;2;SG,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;3;PL,220,220,100.0
a d o l e s ˈe ɾ,V;SBJV;PRS;3;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;1;PL,181,220,82.27
a d o ɾ m e s ˈe ɾ,V;IND;PRS;1;SG,214,220,97.27
a d o ɾ m e s ˈe ɾ,V;IND;PRS;2;PL,181,220,82.27
a d o ɾ m e s ˈe ɾ,V;IND;PRS;2;SG,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;3;PL,220,220,100.0
a d o ɾ m e s ˈe ɾ,V;IND;PRS;3;SG,219,220,99.55
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;1;PL,176,220,80.0
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;1;SG,213,220,96.82
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;2;PL,180,220,81.82
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;2;SG,219,220,99.55
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;3;PL,218,220,99.09
a d o ɾ m e s ˈe ɾ,V;SBJV;PRS;3;SG,214,220,97.27
a d u s ˈi ɾ,V;IND;PRS;1;PL,176,220,80.0
a d u s ˈi ɾ,V;IND;PRS;1;SG,192,220,87.27
a d u s ˈi ɾ,V;IND;PRS;2;PL,184,220,83.64
a d u s ˈi ɾ,V;IND;PRS;2;SG,219,220,99.55
a d u s ˈi ɾ,V;IND;PRS;3;PL,219,220,99.55
a d u s ˈi ɾ,V;IND;PRS;3;SG,202,220,91.82
a d u s ˈi ɾ,V;SBJV;PRS;1;PL,196,220,89.09
