model,condition,run,target_tag,correct,total,accuracy
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;1;PL,2579,3630,71.05
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;1;PL,2668,3630,73.5
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;1;PL,2415,3630,66.53
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;1;PL,2484,3630,68.43
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;1;SG,2763,3630,76.12
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;1;SG,2560,3630,70.52
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;1;SG,2613,3630,71.98
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;1;SG,2594,3630,71.46
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;2;PL,2631,3630,72.48
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;2;PL,2652,3630,73.06
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;2;PL,2511,3630,69.17
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;2;PL,2507,3630,69.06
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;2;SG,2585,3630,71.21
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;2;SG,2483,3630,68.4
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;2;SG,2448,3630,67.44
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;2;SG,2520,3630,69.42
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;3;PL,2701,3630,74.41
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;3;PL,2083,3630,57.38
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;3;PL,2115,3630,58.26
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;3;PL,2527,3630,69.61
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;3;SG,2731,3630,75.23
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;3;SG,2653,3630,73.09
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;3;SG,2401,3630,66.14
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;3;SG,2504,3630,68.98
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;1;PL,2647,3630,72.92
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;1;PL,2699,3630,74.35
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;1;PL,2637,3630,72.64
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;1;PL,2536,3630,69.86
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;1;SG,2551,3630,70.28
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;1;SG,2760,3630,76.03
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;1;SG,2629,3630,72.42
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;1;SG,2564,3630,70.63
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;2;PL,2438,3630,67.16
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;2;PL,2427,3630,66.86
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;2;PL,2403,3630,66.2
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;2;PL,2294,3630,63.2
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;2;SG,2636,3630,72.62
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;2;SG,2405,3630,66.25
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;2;SG,2461,3630,67.8
