target_tag,correct,total,accuracy,overall_accuracy
V;SBJV;PRS;1;PL,91427,123420,74.07735294117647,74.08
V;SBJV;PRS;2;SG,89764,123420,72.73,72.73
V;IND;PRS;1;SG,89667,123420,72.65117647058823,72.65
V;SBJV;PRS;3;SG,89086,123420,72.18117647058823,72.18
V;SBJV;PRS;1;SG,89069,123420,72.16676470588236,72.17
V;SBJV;PRS;3;PL,88624,123420,71.80823529411765,71.81
V;IND;PRS;2;SG,87765,123420,71.11147058823529,71.11
V;IND;PRS;3;SG,87532,123420,70.9214705882353,70.92
V;SBJV;PRS;2;PL,86956,123420,70.45558823529412,70.46
V;IND;PRS;2;PL,86733,123420,70.27529411764706,70.27
V;IND;PRS;3;PL,86718,123420,70.2620588235294,70.26
V;IND;PRS;1;PL,85345,123420,69.14999999999999,69.15
