model,condition,run,target_tag,correct,total,accuracy
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;1;PL,2768,3630,76.25
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;1;PL,2522,3630,69.48
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;1;PL,2542,3630,70.03
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;1;PL,2773,3630,76.39
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;1;SG,2843,3630,78.32
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;1;SG,2907,3630,80.08
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;1;SG,2663,3630,73.36
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;1;SG,2745,3630,75.62
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;2;PL,2777,3630,76.5
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;2;PL,2616,3630,72.07
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;2;PL,2626,3630,72.34
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;2;PL,2763,3630,76.12
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;2;SG,2764,3630,76.14
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;2;SG,2774,3630,76.42
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;2;SG,2527,3630,69.61
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;2;SG,2685,3630,73.97
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;3;PL,2755,3630,75.9
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;3;PL,2775,3630,76.45
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;3;PL,2454,3630,67.6
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;3;PL,2662,3630,73.33
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;3;SG,2757,3630,75.95
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;3;SG,2802,3630,77.19
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;3;SG,2501,3630,68.9
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;3;SG,2728,3630,75.15
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;1;PL,2848,3630,78.46
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;1;PL,2621,3630,72.2
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;1;PL,2561,3630,70.55
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;1;PL,2797,3630,77.05
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;1;SG,2861,3630,78.82
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;1;SG,2896,3630,79.78
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;1;SG,2626,3630,72.34
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;1;SG,2822,3630,77.74
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;2;PL,2585,3630,71.21
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;2;PL,2590,3630,71.35
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;2;PL,2381,3630,65.59
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;2;PL,2788,3630,76.8
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;2;SG,2873,3630,79.15
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;2;SG,2884,3630,79.45
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;2;SG,2617,3630,72.09
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;2;SG,2792,3630,76.91
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;3;PL,2882,3630,79.39
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;3;PL,2891,3630,79.64
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;3;PL,2547,3630,70.17
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;3;PL,2800,3630,77.13
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;3;SG,2863,3630,78.87
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;3;SG,2901,3630,79.92
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;3;SG,2614,3630,72.01
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;3;SG,2825,3630,77.82
10L_90NL_2_1,10L_90NL,2,V;IND;PRS;1;PL,2870,3630,79.06
10L_90NL_2_2,10L_90NL,2,V;IND;PRS;1;PL,2795,3630,77.0
10L_90NL_2_3,10L_90NL,2,V;IND;PRS;1;PL,2740,3630,75.48
10L_90NL_2_4,10L_90NL,2,V;IND;PRS;1;PL,2522,3630,69.48
