target_tag,correct,total,accuracy,overall_accuracy
V;IND;PRS;3;SG,104510,130680,79.97305555555556,79.97
V;SBJV;PRS;1;SG,104371,130680,79.86805555555556,79.87
V;SBJV;PRS;3;SG,104367,130680,79.86416666666668,79.86
V;SBJV;PRS;3;PL,104347,130680,79.84972222222223,79.85
V;IND;PRS;3;PL,104293,130680,79.80722222222222,79.81
V;IND;PRS;2;SG,104281,130680,79.7988888888889,79.8
V;SBJV;PRS;2;SG,104060,130680,79.62972222222223,79.63
V;SBJV;PRS;1;PL,103876,130680,79.48833333333333,79.49
V;IND;PRS;1;SG,103663,130680,79.32583333333334,79.33
V;IND;PRS;1;PL,102537,130680,78.46472222222222,78.46
V;SBJV;PRS;2;PL,102410,130680,78.36694444444444,78.37
V;IND;PRS;2;PL,102378,130680,78.34305555555555,78.34
