model,condition,run,target_tag,correct,total,accuracy
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;1;PL,2721,3630,74.96
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;1;PL,2857,3630,78.71
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;1;PL,2717,3630,74.85
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;1;PL,2525,3630,69.56
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;1;SG,2653,3630,73.09
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;1;SG,2899,3630,79.86
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;1;SG,2861,3630,78.82
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;1;SG,2525,3630,69.56
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;2;PL,2713,3630,74.74
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;2;PL,2874,3630,79.17
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;2;PL,2800,3630,77.13
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;2;PL,2565,3630,70.66
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;2;SG,2622,3630,72.23
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;2;SG,2688,3630,74.05
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;2;SG,2718,3630,74.88
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;2;SG,2451,3630,67.52
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;3;PL,2576,3630,70.96
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;3;PL,2696,3630,74.27
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;3;PL,2715,3630,74.79
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;3;PL,2454,3630,67.6
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;3;SG,2596,3630,71.52
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;3;SG,2707,3630,74.57
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;3;SG,2724,3630,75.04
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;3;SG,2447,3630,67.41
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;1;PL,2710,3630,74.66
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;1;PL,2993,3630,82.45
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;1;PL,2870,3630,79.06
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;1;PL,2587,3630,71.27
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;1;SG,2680,3630,73.83
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;1;SG,2854,3630,78.62
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;1;SG,2826,3630,77.85
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;1;SG,2540,3630,69.97
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;2;PL,2379,3630,65.54
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;2;PL,2984,3630,82.2
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;2;PL,2867,3630,78.98
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;2;PL,2595,3630,71.49
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;2;SG,2693,3630,74.19
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;2;SG,2851,3630,78.54
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;2;SG,2818,3630,77.63
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;2;SG,2528,3630,69.64
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;3;PL,2664,3630,73.39
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;3;PL,2877,3630,79.26
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;3;PL,2834,3630,78.07
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;3;PL,2525,3630,69.56
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;3;SG,2675,3630,73.69
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;3;SG,2857,3630,78.71
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;3;SG,2830,3630,77.96
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;3;SG,2545,3630,70.11
10L_90NL_2_1,10L_90NL,2,V;IND;PRS;1;PL,2674,3630,73.66
10L_90NL_2_2,10L_90NL,2,V;IND;PRS;1;PL,2458,3630,67.71
10L_90NL_2_3,10L_90NL,2,V;IND;PRS;1;PL,2319,3630,63.88
10L_90NL_2_4,10L_90NL,2,V;IND;PRS;1;PL,2584,3630,71.18
10L_90NL_2_1,10L_90NL,2,V;IND;PRS;1;SG,2739,3630,75.45
10L_90NL_2_2,10L_90NL,2,V;IND;PRS;1;SG,2787,3630,76.78
10L_90NL_2_3,10L_90NL,2,V;IND;PRS;1;SG,2484,3630,68.43
10L_90NL_2_4,10L_90NL,2,V;IND;PRS;1;SG,2627,3630,72.37
10L_90NL_2_1,10L_90NL,2,V;IND;PRS;2;PL,2691,3630,74.13
10L_90NL_2_2,10L_90NL,2,V;IND;PRS;2;PL,2431,3630,66.97
