target_tag,correct,total,accuracy,overall_accuracy
V;IND;PRS;3;SG,95565,123420,77.43058823529411,77.43
V;SBJV;PRS;1;PL,95273,123420,77.19411764705882,77.19
V;IND;PRS;2;SG,95207,123420,77.14058823529412,77.14
V;IND;PRS;3;PL,95196,123420,77.13176470588235,77.13
V;IND;PRS;2;PL,94797,123420,76.80794117647058,76.81
V;IND;PRS;1;PL,94695,123420,76.72529411764705,76.73
V;SBJV;PRS;1;SG,94232,123420,76.35058823529413,76.35
V;SBJV;PRS;3;SG,94168,123420,76.29911764705882,76.3
V;IND;PRS;1;SG,93921,123420,76.0985294117647,76.1
V;SBJV;PRS;2;SG,93926,123420,76.1029411764706,76.1
V;SBJV;PRS;3;PL,93890,123420,76.0729411764706,76.07
V;SBJV;PRS;2;PL,93626,123420,75.85970588235294,75.86
