model,condition,run,target_tag,correct,total,accuracy
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;1;PL,2565,3630,70.66
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;1;PL,2023,3630,55.73
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;1;PL,2162,3630,59.56
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;1;PL,2930,3630,80.72
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;1;SG,2671,3630,73.58
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;1;SG,2345,3630,64.6
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;1;SG,2385,3630,65.7
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;1;SG,2987,3630,82.29
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;2;PL,2586,3630,71.24
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;2;PL,2199,3630,60.58
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;2;PL,2186,3630,60.22
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;2;PL,2935,3630,80.85
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;2;SG,2646,3630,72.89
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;2;SG,2059,3630,56.72
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;2;SG,2237,3630,61.63
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;2;SG,2869,3630,79.04
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;3;PL,2651,3630,73.03
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;3;PL,2091,3630,57.6
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;3;PL,2232,3630,61.49
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;3;PL,2880,3630,79.34
10L_90NL_1_1,10L_90NL,1,V;IND;PRS;3;SG,2664,3630,73.39
10L_90NL_1_2,10L_90NL,1,V;IND;PRS;3;SG,2091,3630,57.6
10L_90NL_1_3,10L_90NL,1,V;IND;PRS;3;SG,2201,3630,60.63
10L_90NL_1_4,10L_90NL,1,V;IND;PRS;3;SG,2885,3630,79.48
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;1;PL,2514,3630,69.26
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;1;PL,2098,3630,57.8
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;1;PL,2203,3630,60.69
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;1;PL,3024,3630,83.31
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;1;SG,2714,3630,74.77
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;1;SG,2279,3630,62.78
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;1;SG,2329,3630,64.16
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;1;SG,2950,3630,81.27
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;2;PL,2448,3630,67.44
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;2;PL,2127,3630,58.6
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;2;PL,2041,3630,56.23
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;2;PL,3009,3630,82.89
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;2;SG,2709,3630,74.63
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;2;SG,2215,3630,61.02
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;2;SG,2283,3630,62.89
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;2;SG,2936,3630,80.88
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;3;PL,2685,3630,73.97
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;3;PL,2195,3630,60.47
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;3;PL,2304,3630,63.47
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;3;PL,2938,3630,80.94
10L_90NL_1_1,10L_90NL,1,V;SBJV;PRS;3;SG,2705,3630,74.52
10L_90NL_1_2,10L_90NL,1,V;SBJV;PRS;3;SG,2259,3630,62.23
10L_90NL_1_3,10L_90NL,1,V;SBJV;PRS;3;SG,2332,3630,64.24
10L_90NL_1_4,10L_90NL,1,V;SBJV;PRS;3;SG,2951,3630,81.29
10L_90NL_2_1,10L_90NL,2,V;IND;PRS;1;PL,2658,3630,73.22
10L_90NL_2_2,10L_90NL,2,V;IND;PRS;1;PL,2056,3630,56.64
10L_90NL_2_3,10L_90NL,2,V;IND;PRS;1;PL,2263,3630,62.34
