target_tag,correct,total,accuracy,overall_accuracy
V;SBJV;PRS;1;SG,98953,130680,75.72166666666666,75.72
V;SBJV;PRS;3;SG,98946,130680,75.71611111111112,75.72
V;IND;PRS;1;SG,98920,130680,75.69611111111111,75.7
V;SBJV;PRS;2;SG,98161,130680,75.11583333333334,75.12
V;SBJV;PRS;3;PL,98173,130680,75.125,75.12
V;IND;PRS;2;SG,97805,130680,74.8425,74.84
V;IND;PRS;3;PL,97736,130680,74.78972222222222,74.79
V;SBJV;PRS;1;PL,97551,130680,74.64944444444444,74.65
V;IND;PRS;3;SG,97134,130680,74.33,74.33
V;IND;PRS;2;PL,95781,130680,73.29416666666667,73.29
V;SBJV;PRS;2;PL,95638,130680,73.18527777777778,73.18
V;IND;PRS;1;PL,94978,130680,72.68027777777777,72.68
