,V;IND;PRS;1;SG,V;IND;PRS;2;SG,V;IND;PRS;3;SG,V;IND;PRS;1;PL,V;IND;PRS;2;PL,V;IND;PRS;3;PL,V;SBJV;PRS;1;SG,V;SBJV;PRS;2;SG,V;SBJV;PRS;3;SG,V;SBJV;PRS;1;PL,V;SBJV;PRS;2;PL,V;SBJV;PRS;3;PL
V;IND;PRS;1;SG,0.0,0.42727272727272725,0.4409090909090909,0.6000000000000001,0.6181818181818182,0.44545454545454555,0.0,0.0,0.0,0.004545454545454519,0.13636363636363635,0.0
V;IND;PRS;2;SG,0.42727272727272725,0.0,0.013636363636363669,0.17272727272727284,0.19090909090909092,0.0181818181818183,0.42727272727272725,0.42727272727272725,0.42727272727272725,0.43181818181818177,0.5636363636363636,0.42727272727272725
V;IND;PRS;3;SG,0.4409090909090909,0.013636363636363669,0.0,0.15909090909090917,0.17727272727272725,0.00454545454545463,0.4409090909090909,0.4409090909090909,0.4409090909090909,0.44545454545454544,0.5772727272727273,0.4409090909090909
V;IND;PRS;1;PL,0.6000000000000001,0.17272727272727284,0.15909090909090917,0.0,0.018181818181818077,0.15454545454545454,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6045454545454546,0.7363636363636364,0.6000000000000001
V;IND;PRS;2;PL,0.6181818181818182,0.19090909090909092,0.17727272727272725,0.018181818181818077,0.0,0.17272727272727262,0.6181818181818182,0.6181818181818182,0.6181818181818182,0.6227272727272727,0.7545454545454545,0.6181818181818182
V;IND;PRS;3;PL,0.44545454545454555,0.0181818181818183,0.00454545454545463,0.15454545454545454,0.17272727272727262,0.0,0.44545454545454555,0.44545454545454555,0.44545454545454555,0.45000000000000007,0.5818181818181819,0.44545454545454555
V;SBJV;PRS;1;SG,0.0,0.42727272727272725,0.4409090909090909,0.6000000000000001,0.6181818181818182,0.44545454545454555,0.0,0.0,0.0,0.004545454545454519,0.13636363636363635,0.0
V;SBJV;PRS;2;SG,0.0,0.42727272727272725,0.4409090909090909,0.6000000000000001,0.6181818181818182,0.44545454545454555,0.0,0.0,0.0,0.004545454545454519,0.13636363636363635,0.0
V;SBJV;PRS;3;SG,0.0,0.42727272727272725,0.4409090909090909,0.6000000000000001,0.6181818181818182,0.44545454545454555,0.0,0.0,0.0,0.004545454545454519,0.13636363636363635,0.0
V;SBJV;PRS;1;PL,0.004545454545454519,0.43181818181818177,0.44545454545454544,0.6045454545454546,0.6227272727272727,0.45000000000000007,0.004545454545454519,0.004545454545454519,0.004545454545454519,0.0,0.13181818181818183,0.004545454545454519
V;SBJV;PRS;2;PL,0.13636363636363635,0.5636363636363636,0.5772727272727273,0.7363636363636364,0.7545454545454545,0.5818181818181819,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13181818181818183,0.0,0.13636363636363635
V;SBJV;PRS;3;PL,0.0,0.42727272727272725,0.4409090909090909,0.6000000000000001,0.6181818181818182,0.44545454545454555,0.0,0.0,0.0,0.004545454545454519,0.13636363636363635,0.0
