,V;IND;PRS;1;SG,V;IND;PRS;2;SG,V;IND;PRS;3;SG,V;IND;PRS;1;PL,V;IND;PRS;2;PL,V;IND;PRS;3;PL,V;SBJV;PRS;1;SG,V;SBJV;PRS;2;SG,V;SBJV;PRS;3;SG,V;SBJV;PRS;1;PL,V;SBJV;PRS;2;PL,V;SBJV;PRS;3;PL
V;IND;PRS;1;SG,0.0,0.4590909090909091,0.43181818181818177,0.6454545454545454,0.6363636363636364,0.44545454545454544,0.0,0.027272727272727226,0.00909090909090915,0.24090909090909085,0.19545454545454544,0.031818181818181746
V;IND;PRS;2;SG,0.4590909090909091,0.0,0.027272727272727337,0.1863636363636363,0.17727272727272725,0.013636363636363669,0.4590909090909091,0.4318181818181819,0.46818181818181825,0.21818181818181825,0.26363636363636367,0.42727272727272736
V;IND;PRS;3;SG,0.43181818181818177,0.027272727272727337,0.0,0.21363636363636362,0.20454545454545459,0.013636363636363669,0.43181818181818177,0.40454545454545454,0.4409090909090909,0.19090909090909092,0.23636363636363633,0.4
V;IND;PRS;1;PL,0.6454545454545454,0.1863636363636363,0.21363636363636362,0.0,0.009090909090909038,0.19999999999999996,0.6454545454545454,0.6181818181818182,0.6545454545454545,0.40454545454545454,0.44999999999999996,0.6136363636363636
V;IND;PRS;2;PL,0.6363636363636364,0.17727272727272725,0.20454545454545459,0.009090909090909038,0.0,0.19090909090909092,0.6363636363636364,0.6090909090909091,0.6454545454545455,0.3954545454545455,0.4409090909090909,0.6045454545454546
V;IND;PRS;3;PL,0.44545454545454544,0.013636363636363669,0.013636363636363669,0.19999999999999996,0.19090909090909092,0.0,0.44545454545454544,0.4181818181818182,0.4545454545454546,0.20454545454545459,0.25,0.4136363636363637
V;SBJV;PRS;1;SG,0.0,0.4590909090909091,0.43181818181818177,0.6454545454545454,0.6363636363636364,0.44545454545454544,0.0,0.027272727272727226,0.00909090909090915,0.24090909090909085,0.19545454545454544,0.031818181818181746
V;SBJV;PRS;2;SG,0.027272727272727226,0.4318181818181819,0.40454545454545454,0.6181818181818182,0.6090909090909091,0.4181818181818182,0.027272727272727226,0.0,0.036363636363636376,0.21363636363636362,0.1681818181818182,0.004545454545454519
V;SBJV;PRS;3;SG,0.00909090909090915,0.46818181818181825,0.4409090909090909,0.6545454545454545,0.6454545454545455,0.4545454545454546,0.00909090909090915,0.036363636363636376,0.0,0.25,0.20454545454545459,0.040909090909090895
V;SBJV;PRS;1;PL,0.24090909090909085,0.21818181818181825,0.19090909090909092,0.40454545454545454,0.3954545454545455,0.20454545454545459,0.24090909090909085,0.21363636363636362,0.25,0.0,0.045454545454545414,0.2090909090909091
V;SBJV;PRS;2;PL,0.19545454545454544,0.26363636363636367,0.23636363636363633,0.44999999999999996,0.4409090909090909,0.25,0.19545454545454544,0.1681818181818182,0.20454545454545459,0.045454545454545414,0.0,0.1636363636363637
V;SBJV;PRS;3;PL,0.031818181818181746,0.42727272727272736,0.4,0.6136363636363636,0.6045454545454546,0.4136363636363637,0.031818181818181746,0.004545454545454519,0.040909090909090895,0.2090909090909091,0.1636363636363637,0.0
