,V;IND;PRS;1;SG,V;IND;PRS;2;SG,V;IND;PRS;3;SG,V;IND;PRS;1;PL,V;IND;PRS;2;PL,V;IND;PRS;3;PL,V;SBJV;PRS;1;SG,V;SBJV;PRS;2;SG,V;SBJV;PRS;3;SG,V;SBJV;PRS;1;PL,V;SBJV;PRS;2;PL,V;SBJV;PRS;3;PL
V;IND;PRS;1;SG,0.0,0.2863636363636364,0.30454545454545456,0.36363636363636365,0.4954545454545455,0.24545454545454548,0.17272727272727273,0.11818181818181828,0.1863636363636364,0.2545454545454546,0.09545454545454546,0.26818181818181824
V;IND;PRS;2;SG,0.2863636363636364,0.0,0.018181818181818188,0.07727272727272727,0.2090909090909091,0.040909090909090895,0.11363636363636365,0.1681818181818181,0.09999999999999998,0.0318181818181818,0.19090909090909092,0.018181818181818132
V;IND;PRS;3;SG,0.30454545454545456,0.018181818181818188,0.0,0.05909090909090908,0.19090909090909092,0.05909090909090908,0.13181818181818183,0.1863636363636363,0.11818181818181817,0.04999999999999999,0.2090909090909091,0.03636363636363632
V;IND;PRS;1;PL,0.36363636363636365,0.07727272727272727,0.05909090909090908,0.0,0.13181818181818183,0.11818181818181817,0.19090909090909092,0.24545454545454537,0.17727272727272725,0.10909090909090907,0.2681818181818182,0.0954545454545454
V;IND;PRS;2;PL,0.4954545454545455,0.2090909090909091,0.19090909090909092,0.13181818181818183,0.0,0.25,0.32272727272727275,0.3772727272727272,0.3090909090909091,0.2409090909090909,0.4,0.22727272727272724
V;IND;PRS;3;PL,0.24545454545454548,0.040909090909090895,0.05909090909090908,0.11818181818181817,0.25,0.0,0.07272727272727275,0.1272727272727272,0.05909090909090908,0.009090909090909094,0.15000000000000002,0.022727272727272763
V;SBJV;PRS;1;SG,0.17272727272727273,0.11363636363636365,0.13181818181818183,0.19090909090909092,0.32272727272727275,0.07272727272727275,0.0,0.05454545454545445,0.013636363636363669,0.08181818181818185,0.07727272727272727,0.09545454545454551
V;SBJV;PRS;2;SG,0.11818181818181828,0.1681818181818181,0.1863636363636363,0.24545454545454537,0.3772727272727272,0.1272727272727272,0.05454545454545445,0.0,0.06818181818181812,0.1363636363636363,0.022727272727272818,0.14999999999999997
V;SBJV;PRS;3;SG,0.1863636363636364,0.09999999999999998,0.11818181818181817,0.17727272727272725,0.3090909090909091,0.05909090909090908,0.013636363636363669,0.06818181818181812,0.0,0.06818181818181818,0.09090909090909094,0.08181818181818185
V;SBJV;PRS;1;PL,0.2545454545454546,0.0318181818181818,0.04999999999999999,0.10909090909090907,0.2409090909090909,0.009090909090909094,0.08181818181818185,0.1363636363636363,0.06818181818181818,0.0,0.15909090909090912,0.013636363636363669
V;SBJV;PRS;2;PL,0.09545454545454546,0.19090909090909092,0.2090909090909091,0.2681818181818182,0.4,0.15000000000000002,0.07727272727272727,0.022727272727272818,0.09090909090909094,0.15909090909090912,0.0,0.17272727272727278
V;SBJV;PRS;3;PL,0.26818181818181824,0.018181818181818132,0.03636363636363632,0.0954545454545454,0.22727272727272724,0.022727272727272763,0.09545454545454551,0.14999999999999997,0.08181818181818185,0.013636363636363669,0.17272727272727278,0.0
