,V;IND;PRS;1;SG,V;IND;PRS;2;SG,V;IND;PRS;3;SG,V;IND;PRS;1;PL,V;IND;PRS;2;PL,V;IND;PRS;3;PL,V;SBJV;PRS;1;SG,V;SBJV;PRS;2;SG,V;SBJV;PRS;3;SG,V;SBJV;PRS;1;PL,V;SBJV;PRS;2;PL,V;SBJV;PRS;3;PL
V;IND;PRS;1;SG,0.0,0.9045454545454545,0.8863636363636364,0.8590909090909091,0.8681818181818182,0.9,0.031818181818181746,0.018181818181818188,0.040909090909090895,0.009090909090909038,0.040909090909090895,0.004545454545454519
V;IND;PRS;2;SG,0.9045454545454545,0.0,0.018181818181818188,0.045454545454545414,0.036363636363636376,0.004545454545454519,0.8727272727272728,0.8863636363636364,0.8636363636363636,0.8954545454545455,0.9454545454545454,0.9
V;IND;PRS;3;SG,0.8863636363636364,0.018181818181818188,0.0,0.027272727272727226,0.018181818181818188,0.013636363636363669,0.8545454545454546,0.8681818181818182,0.8454545454545455,0.8772727272727273,0.9272727272727272,0.8818181818181818
V;IND;PRS;1;PL,0.8590909090909091,0.045454545454545414,0.027272727272727226,0.0,0.009090909090909038,0.040909090909090895,0.8272727272727274,0.8409090909090909,0.8181818181818182,0.8500000000000001,0.9,0.8545454545454546
V;IND;PRS;2;PL,0.8681818181818182,0.036363636363636376,0.018181818181818188,0.009090909090909038,0.0,0.03181818181818186,0.8363636363636364,0.85,0.8272727272727273,0.8590909090909091,0.9090909090909091,0.8636363636363636
V;IND;PRS;3;PL,0.9,0.004545454545454519,0.013636363636363669,0.040909090909090895,0.03181818181818186,0.0,0.8681818181818183,0.8818181818181818,0.8590909090909091,0.890909090909091,0.9409090909090909,0.8954545454545455
V;SBJV;PRS;1;SG,0.031818181818181746,0.8727272727272728,0.8545454545454546,0.8272727272727274,0.8363636363636364,0.8681818181818183,0.0,0.013636363636363558,0.00909090909090915,0.022727272727272707,0.07272727272727264,0.027272727272727226
V;SBJV;PRS;2;SG,0.018181818181818188,0.8863636363636364,0.8681818181818182,0.8409090909090909,0.85,0.8818181818181818,0.013636363636363558,0.0,0.022727272727272707,0.00909090909090915,0.05909090909090908,0.013636363636363669
V;SBJV;PRS;3;SG,0.040909090909090895,0.8636363636363636,0.8454545454545455,0.8181818181818182,0.8272727272727273,0.8590909090909091,0.00909090909090915,0.022727272727272707,0.0,0.03181818181818186,0.08181818181818179,0.036363636363636376
V;SBJV;PRS;1;PL,0.009090909090909038,0.8954545454545455,0.8772727272727273,0.8500000000000001,0.8590909090909091,0.890909090909091,0.022727272727272707,0.00909090909090915,0.03181818181818186,0.0,0.04999999999999993,0.004545454545454519
V;SBJV;PRS;2;PL,0.040909090909090895,0.9454545454545454,0.9272727272727272,0.9,0.9090909090909091,0.9409090909090909,0.07272727272727264,0.05909090909090908,0.08181818181818179,0.04999999999999993,0.0,0.045454545454545414
V;SBJV;PRS;3;PL,0.004545454545454519,0.9,0.8818181818181818,0.8545454545454546,0.8636363636363636,0.8954545454545455,0.027272727272727226,0.013636363636363669,0.036363636363636376,0.004545454545454519,0.045454545454545414,0.0
