,V;IND;PRS;1;SG,V;IND;PRS;2;SG,V;IND;PRS;3;SG,V;IND;PRS;1;PL,V;IND;PRS;2;PL,V;IND;PRS;3;PL,V;SBJV;PRS;1;SG,V;SBJV;PRS;2;SG,V;SBJV;PRS;3;SG,V;SBJV;PRS;1;PL,V;SBJV;PRS;2;PL,V;SBJV;PRS;3;PL
V;IND;PRS;1;SG,0.0,0.17272727272727273,0.2272727272727273,0.05909090909090908,0.08636363636363631,0.19090909090909092,0.0318181818181818,0.013636363636363669,0.04999999999999999,0.21363636363636362,0.20909090909090905,0.08181818181818179
V;IND;PRS;2;SG,0.17272727272727273,0.0,0.054545454545454564,0.11363636363636365,0.08636363636363642,0.018181818181818188,0.14090909090909093,0.1863636363636364,0.12272727272727274,0.040909090909090895,0.03636363636363632,0.09090909090909094
V;IND;PRS;3;SG,0.2272727272727273,0.054545454545454564,0.0,0.1681818181818182,0.14090909090909098,0.036363636363636376,0.1954545454545455,0.24090909090909096,0.1772727272727273,0.013636363636363669,0.018181818181818243,0.1454545454545455
V;IND;PRS;1;PL,0.05909090909090908,0.11363636363636365,0.1681818181818182,0.0,0.027272727272727226,0.13181818181818183,0.027272727272727282,0.07272727272727275,0.009090909090909094,0.15454545454545454,0.14999999999999997,0.022727272727272707
V;IND;PRS;2;PL,0.08636363636363631,0.08636363636363642,0.14090909090909098,0.027272727272727226,0.0,0.10454545454545461,0.05454545454545451,0.09999999999999998,0.03636363636363632,0.12727272727272732,0.12272727272727274,0.004545454545454519
V;IND;PRS;3;PL,0.19090909090909092,0.018181818181818188,0.036363636363636376,0.13181818181818183,0.10454545454545461,0.0,0.15909090909090912,0.20454545454545459,0.14090909090909093,0.022727272727272707,0.018181818181818132,0.10909090909090913
V;SBJV;PRS;1;SG,0.0318181818181818,0.14090909090909093,0.1954545454545455,0.027272727272727282,0.05454545454545451,0.15909090909090912,0.0,0.04545454545454547,0.018181818181818188,0.18181818181818182,0.17727272727272725,0.04999999999999999
V;SBJV;PRS;2;SG,0.013636363636363669,0.1863636363636364,0.24090909090909096,0.07272727272727275,0.09999999999999998,0.20454545454545459,0.04545454545454547,0.0,0.06363636363636366,0.2272727272727273,0.22272727272727272,0.09545454545454546
V;SBJV;PRS;3;SG,0.04999999999999999,0.12272727272727274,0.1772727272727273,0.009090909090909094,0.03636363636363632,0.14090909090909093,0.018181818181818188,0.06363636363636366,0.0,0.16363636363636364,0.15909090909090906,0.0318181818181818
V;SBJV;PRS;1;PL,0.21363636363636362,0.040909090909090895,0.013636363636363669,0.15454545454545454,0.12727272727272732,0.022727272727272707,0.18181818181818182,0.2272727272727273,0.16363636363636364,0.0,0.004545454545454575,0.13181818181818183
V;SBJV;PRS;2;PL,0.20909090909090905,0.03636363636363632,0.018181818181818243,0.14999999999999997,0.12272727272727274,0.018181818181818132,0.17727272727272725,0.22272727272727272,0.15909090909090906,0.004545454545454575,0.0,0.12727272727272726
V;SBJV;PRS;3;PL,0.08181818181818179,0.09090909090909094,0.1454545454545455,0.022727272727272707,0.004545454545454519,0.10909090909090913,0.04999999999999999,0.09545454545454546,0.0318181818181818,0.13181818181818183,0.12727272727272726,0.0
