test_form,preds_form,preds_stems,test_stems,shapes
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡajs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbjejs,supeɾbj,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbjejs,supeɾbj,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenisejs,supeɾbenis,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenisen,supeɾbenis,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenisejs,supeɾbenis,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenisen,supeɾbenis,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenejs,supeɾben,supeɾbenɡ,L
supeɾbenɡajs,supeɾbenisejs,supeɾbenis,supeɾbenɡ,L
supeɾbenɡajs,supeɾbjejs,supeɾbj,supeɾbenɡ,L
supeɾbenɡajs,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡajs,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡajs,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡemos,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡemos,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡemos,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡemos,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenisemos,supeɾbenis,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjemos,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡjemos,supeɾbenɡj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡemos,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡemos,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡemos,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjemos,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡemos,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡemos,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡemos,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡemos,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjemos,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjemos,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenɡemos,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjemos,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjemos,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjemos,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjemos,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenis,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenisen,supeɾbenis,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenisen,supeɾbenis,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenisen,supeɾbenis,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenemos,supeɾben,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenisemos,supeɾbenis,supeɾbenɡ,L
supeɾbenɡamos,supeɾbenisen,supeɾbenis,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡamos,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenisen,supeɾbenis,supeɾbenɡ,L
supeɾbenɡan,supeɾben,supeɾb,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenisen,supeɾbenis,supeɾbenɡ,L
supeɾbenɡan,supeɾbenisen,supeɾbenis,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾben,supeɾb,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾben,supeɾb,supeɾbenɡ,L
supeɾbenɡan,supeɾben,supeɾb,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenen,supeɾben,supeɾbenɡ,L
supeɾbenɡan,supeɾben,supeɾb,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenisen,supeɾbenis,supeɾbenɡ,L
supeɾbenɡan,supeɾben,supeɾb,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenɡan,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡan,supeɾbenisen,supeɾbenis,supeɾbenɡ,L
supeɾbenɡan,supeɾbenisen,supeɾbenis,supeɾbenɡ,L
supeɾbenɡan,supeɾbenen,supeɾben,supeɾbenɡ,L
supeɾbenɡan,supeɾbenen,supeɾben,supeɾbenɡ,L
supeɾbenɡan,supeɾbenen,supeɾben,supeɾbenɡ,L
supeɾbenɡan,supeɾbenen,supeɾben,supeɾbenɡ,L
supeɾbenɡan,supeɾbenen,supeɾben,supeɾbenɡ,L
supeɾbenɡan,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡan,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡan,supeɾbjen,supeɾbj,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡejs,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenises,supeɾbenis,supeɾbenɡ,L
supeɾbenɡas,supeɾbenises,supeɾbenis,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡises,supeɾbenɡis,supeɾbenɡ,L
supeɾbenɡas,supeɾbenises,supeɾbenis,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾben,supeɾb,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾben,supeɾb,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenɡas,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡas,supeɾbenises,supeɾbenis,supeɾbenɡ,L
supeɾbenɡas,supeɾbenes,supeɾben,supeɾbenɡ,L
supeɾbenɡas,supeɾbenises,supeɾbenis,supeɾbenɡ,L
supeɾbenɡas,supeɾbenes,supeɾben,supeɾbenɡ,L
supeɾbenɡas,supeɾbenes,supeɾben,supeɾbenɡ,L
supeɾbenɡas,supeɾbenes,supeɾben,supeɾbenɡ,L
supeɾbenɡas,supeɾbenes,supeɾben,supeɾbenɡ,L
supeɾbenɡas,supeɾbjenes,supeɾbjen,supeɾbenɡ,L
supeɾbenɡas,supeɾbjenes,supeɾbjen,supeɾbenɡ,L
supeɾbenɡas,supeɾbjenes,supeɾbjen,supeɾbenɡ,L
supeɾbenɡa,supeɾbenɡe,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡa,supeɾbenɡe,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡa,supeɾbenɡa,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡa,supeɾbenɡa,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡa,supeɾbenɡo,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡa,supeɾbenise,supeɾbenis,supeɾbenɡ,L
supeɾbenɡa,supeɾbenise,supeɾbenis,supeɾbenɡ,L
supeɾbenɡa,supeɾbenɡa,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡa,supeɾbenɡa,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡa,supeɾbenɡa,supeɾbenɡ,supeɾbenɡ,L
supeɾbenɡa,supeɾbenɡe,supeɾbenɡ,supeɾbenɡ,L
